AR(p),MA(q),Model,N_Params,AIC,BIC,R²,Residual_Std,GARCH_α,GARCH_β,Persistence,Converged
0,0,Seasonal Only,18,44682.609783922875,44792.36893424883,0.55592774558057,261.28732001841803,0.17437270773769872,0.8252805660700712,0.9996532738077699,True
0,1,"ARMA(0,1)",19,43297.969383292206,43413.826264191826,0.7487335527652532,196.5435356159514,0.17424842883770933,0.8255993517264506,0.9998477805641599,False
0,2,"ARMA(0,2)",20,46888.87435864623,47010.82897011952,0.4391588507661547,293.6374541181344,0.1707909306221859,0.8265357799320584,0.9973267105542443,False
0,3,"ARMA(0,3)",21,42776.919330947814,42904.97167299476,0.7900202451578721,179.67192750470696,0.17333011283005428,0.8250144988931604,0.9983446117232146,False
1,0,"ARMA(1,0)",19,43165.014169574424,43280.871050474045,0.7624811153561637,191.09115584664895,0.17323827969626074,0.8266586505101489,0.9998969302064096,True
1,1,"ARMA(1,1)",20,54187.0310521202,54308.985663593485,-2.6059067109615945,744.5583837265011,0.16709951890048613,0.8323448709519864,0.9994443898524725,True
1,2,"ARMA(1,2)",21,54189.70095712803,54317.753299174976,-2.608771663487864,744.8541069746241,0.17018740579145983,0.8297096186973203,0.9998970244887802,True
1,3,"ARMA(1,3)",22,53889.735445769824,54023.88551839044,-2.518045290910219,735.4315003582415,0.16990941462725329,0.8286431637772831,0.9985525784045364,True
2,0,"ARMA(2,0)",20,44017.41392804745,44139.368539520736,0.7034013321020995,213.5384631821549,0.17185182774653646,0.8247596954107846,0.9966115231573212,True
2,1,"ARMA(2,1)",21,54064.05775170864,54192.11009375559,-2.4833350951392736,731.7945022299285,0.17020060165654366,0.8296781739976039,0.9998787756541476,True
2,2,"ARMA(2,2)",22,53642.799187617544,53776.94926023816,-2.2468395903179204,706.515885646802,0.1696262375657435,0.8287304471152636,0.998356684681007,True
2,3,"ARMA(2,3)",23,54033.717975535634,54173.96577872991,-3.5932901219947526,840.3369369781876,0.17006363826365156,0.8287158349981802,0.9987794732618318,True
3,0,"ARMA(3,0)",21,46420.063946715774,46548.11628876272,0.2943058542397903,329.38193160580954,0.17396784910361096,0.8259316959769517,0.9998995450805627,True
3,1,"ARMA(3,1)",22,54126.51929414092,54260.66936676153,-2.5802275235254233,741.9024891952097,0.17014209242291112,0.8295228081622172,0.9996649005851284,True
3,2,"ARMA(3,2)",23,53347.16060716782,53487.40841036209,-2.1196165747228988,692.5356333948496,0.16938312830332192,0.8276839437148711,0.997067072018193,True
3,3,"ARMA(3,3)",24,52289.33903830813,52435.68457207607,-1.5873787012601968,630.6980876158054,0.169641470097587,0.8281662659756408,0.9978077360732278,True
