Date,ActualLoad_pred_min,ActualLoad_pred_max,ActualLoad_min,ActualLoad_max,ActualLoad_pred_avg,ActualLoad_avg
2005-01-01,2228.8,3006.3,2125.0,3022.0,2617.55,2573.5
2005-01-02,2294.9,3276.4,2193.0,3328.0,2785.65,2760.5
2005-01-03,2257.0,3280.9,2163.0,3507.0,2768.95,2835.0
2005-01-04,2175.1,3332.9,2127.0,3549.0,2754.0,2838.0
2005-01-05,2094.5,3340.6,2201.0,3725.0,2717.55,2963.0
2005-01-06,2266.0,3528.5,2388.0,3763.0,2897.25,3075.5
2005-01-07,2127.6,3349.2,2333.0,3587.0,2738.3999999999996,2960.0
2005-01-08,2188.4,3136.6,2328.0,3479.0,2662.5,2903.5
2005-01-09,2201.4,3141.8,2352.0,3393.0,2671.6000000000004,2872.5
2005-01-10,2047.0,3304.0,2300.0,3674.0,2675.5,2987.0
2005-01-11,2371.9,3439.1,2319.0,3700.0,2905.5,3009.5
2005-01-12,2264.1,3391.6,2348.0,3701.0,2827.85,3024.5
2005-01-13,2142.0,3381.6,2307.0,3606.0,2761.8,2956.5
2005-01-14,2092.3,3137.7,2140.0,3478.0,2615.0,2809.0
2005-01-15,2093.0,3272.6,2305.0,3316.0,2682.8,2810.5
2005-01-16,2262.0,3392.7,2385.0,3411.0,2827.35,2898.0
2005-01-17,2377.4,3438.7,2498.0,3908.0,2908.05,3203.0
2005-01-18,2376.7,3476.3,2772.0,4193.0,2926.5,3482.5
2005-01-19,2685.2,3971.4,2933.0,4045.0,3328.3,3489.0
2005-01-20,2496.0,3868.6,2635.0,3914.0,3182.3,3274.5
2005-01-21,2401.6,3704.7,2776.0,4094.0,3053.1499999999996,3435.0
2005-01-22,2808.8,3197.8,2987.0,3948.0,3003.3,3467.5
2005-01-23,2565.3,3160.7,2773.0,3902.0,2863.0,3337.5
2005-01-24,2523.0,3318.7,2922.0,4030.0,2920.85,3476.0
2005-01-25,2469.6,3476.5,2734.0,3927.0,2973.05,3330.5
2005-01-26,2618.8,3761.8,2645.0,4045.0,3190.3,3345.0
2005-01-27,2595.8,3566.0,2773.0,4046.0,3080.9,3409.5
2005-01-28,2633.3,3627.1,2941.0,3899.0,3130.2,3420.0
