date,min_load,max_load,avg_load
2009-07-06,15158.88,26679.44,21654.299166666664
2009-07-07,16524.02,28241.18,22956.57416666667
2009-07-08,17123.49,26635.12,22402.212499999998
2009-07-09,16976.36,28149.89,23165.5275
2009-07-10,17919.81,28136.08,23676.907916666667
2009-07-11,17874.25,25140.91,21848.57666666667
2009-07-12,16272.74,23523.32,20356.957083333335
2009-07-13,16136.55,28328.49,22802.42125
2009-07-14,16714.72,26513.42,22342.157083333335
2009-07-15,17674.46,28123.05,23337.224583333333
2009-07-16,17957.97,29344.48,24098.684583333335
2009-07-17,17353.2,23762.0,20827.875833333335
2009-07-18,14887.03,18953.15,17352.220416666667
2009-07-19,14289.86,20093.15,17394.750416666666
2009-07-20,15110.63,24893.78,20753.648333333334
2009-07-21,16303.83,24395.99,21064.48125
2009-07-22,16559.1,22606.64,20426.27666666667
2009-07-23,16313.4,25620.21,21491.859583333335
2009-07-24,16514.61,28131.82,22816.830416666664
2009-07-25,17263.21,24421.11,20927.324583333335
2009-07-26,15424.02,24990.59,20398.83125
2009-07-27,16426.79,28940.56,23414.17541666667
2009-07-28,17707.04,29530.86,23947.422916666663
2009-07-29,17636.36,27078.85,22882.104166666668
2009-07-30,17164.24,26719.48,22542.967916666665
2009-07-31,17081.49,26642.78,22207.851249999996
2009-08-01,15557.06,22404.96,19388.26
2009-08-02,15225.99,23484.26,19338.14625
2009-08-03,15703.86,28638.77,22881.491666666665
2009-08-04,19044.74,25309.63,23028.492500000004
2009-08-05,17308.21,28313.9,23210.059583333332
2009-08-06,17326.47,28054.28,23071.293333333335
2009-08-07,16901.59,26914.31,22536.030833333334
2009-08-08,17225.31,30219.8,23931.677083333332
2009-08-09,18678.21,31429.78,25397.971666666668
2009-08-10,20112.09,31471.52,26182.273333333334
2009-08-11,18959.21,30326.25,25047.848749999994
2009-08-12,17614.75,29383.12,23866.431666666667
2009-08-13,17337.46,29837.68,24000.16625
2009-08-14,17575.61,29837.81,24057.85208333333
2009-08-15,16938.98,29143.36,23164.974999999995
2009-08-16,18051.07,28895.87,23725.788333333334
2009-08-17,18940.63,31326.32,25538.812916666666
2009-08-18,18714.66,29848.32,24888.364166666666
2009-08-19,18750.83,30574.21,25111.484583333335
2009-08-20,18585.4,27782.59,23773.553333333333
2009-08-21,17368.52,25678.96,21869.988750000004
2009-08-22,15536.26,20148.12,18191.061250000002
2009-08-23,14374.77,20682.02,17623.955416666668
2009-08-24,15180.05,25155.07,20992.554999999997
2009-08-25,16239.68,27735.11,22488.887083333335
2009-08-26,16970.420000000002,29682.18,23932.81666666667
2009-08-27,18101.0,30267.79,24766.748333333333
2009-08-28,18258.76,25880.15,22489.23583333333
2009-08-29,16172.13,22756.04,19458.570416666666
2009-08-30,14312.28,19460.45,16978.048333333336
2009-08-31,14645.67,21549.52,19082.24
2009-09-01,15178.82,21836.15,19337.705833333333
2009-09-02,15378.75,23030.0,19940.056249999998
2009-09-03,15701.09,24056.56,20725.149999999998
2009-09-04,16044.86,24579.79,20841.335
2009-09-05,15302.31,21297.36,18624.57458333333
2009-09-06,14944.6,20427.13,17926.367916666666
2009-09-07,14825.76,22579.12,18893.722916666666
2009-09-08,15677.42,25545.42,21431.35208333333
2009-09-09,16312.890000000005,26047.35,21830.07875
2009-09-10,16644.38,26279.6,22097.681666666667
2009-09-11,16474.86,26114.7,21726.767916666668
2009-09-12,15450.7,22904.08,19308.31166666667
2009-09-13,14623.26,22150.21,18407.33375
2009-09-14,15198.76,25652.69,21100.145
2009-09-15,16360.74,25519.85,21678.611249999998
2009-09-16,16509.420000000002,25803.81,21671.6475
2009-09-17,15905.49,24104.27,20562.14875
2009-09-18,15616.89,23302.8,19999.115
2009-09-19,14817.83,20808.91,18145.438333333335
2009-09-20,14581.14,20847.47,17600.9525
2009-09-21,15686.76,25108.29,21392.33875
2009-09-22,17021.61,25969.36,22266.063749999998
2009-09-23,17043.15,24733.18,21820.99125
2009-09-24,17130.53,23040.31,20982.844166666666
2009-09-25,16316.16,22168.85,20006.789166666666
2009-09-26,15134.61,19696.51,17836.0975
2009-09-27,14145.26,20804.07,17264.0
2009-09-28,15037.35,20905.84,18681.227499999997
2009-09-29,14796.7,20674.57,18457.189166666667
2009-09-30,15018.61,20819.34,18618.86125
2009-10-01,15173.86,21046.86,18846.413333333334
2009-10-02,15178.35,20083.07,18290.0025
2009-10-03,14432.2,18428.48,16695.757916666666
2009-10-04,14207.1,18901.63,16371.127916666666
2009-10-05,14664.16,21012.41,18740.749166666665
2009-10-06,15201.86,21187.28,19112.131250000002
2009-10-07,15367.02,20916.69,18765.06583333333
2009-10-08,15554.68,21418.32,19327.955416666668
2009-10-09,15657.68,20970.24,19103.409166666668
2009-10-10,15517.34,18843.7,17411.18666666667
2009-10-11,15434.55,19629.54,17341.44
2009-10-12,15832.23,21451.78,19416.895
2009-10-13,15792.33,21833.64,19522.40625
2009-10-14,16557.510000000002,22085.26,20031.835000000003
2009-10-15,16618.69,22086.92,20199.864583333332
2009-10-16,16942.81,21882.95,20079.366250000003
