Date,min,max,avg
2013-12-11,16770.71,21765.93,19596.7625
2013-12-12,16960.63,20800.79,19102.74625
2013-12-13,16112.44,20847.03,18766.6625
2013-12-14,15787.82,19727.02,17768.799583333337
2013-12-15,15971.01,20265.74,17908.959166666667
2013-12-16,16216.28,21062.55,19010.18625
2013-12-17,15583.86,20623.22,18371.93416666667
2013-12-18,16050.24,20194.99,18304.977083333335
2013-12-19,15554.97,20888.49,18666.772083333333
2013-12-20,16065.79,20207.61,18650.76375
2013-12-21,15396.68,19137.99,17432.06166666667
2013-12-22,15263.05,19854.44,17358.2525
2013-12-23,16326.56,21190.04,19135.939583333336
2013-12-24,16807.99,19719.05,18302.017916666668
2013-12-25,14699.58,17224.95,15993.034583333334
2013-12-26,14446.03,19315.74,17215.723749999997
2013-12-27,14675.71,18467.38,16839.84041666667
2013-12-28,13894.9,18009.4,15875.606250000003
2013-12-29,15293.81,20087.97,17524.059583333335
2013-12-30,16769.12,20922.21,19246.377500000002
2013-12-31,16778.79,20841.46,18918.283333333333
2014-01-01,16502.85,20263.63,18112.149166666666
2014-01-02,16766.34,21510.0,19468.98833333333
2014-01-03,17639.350000000002,20858.48,19504.757083333334
2014-01-04,15534.0,20043.87,17774.83083333333
2014-01-05,16635.11,21209.52,18793.08208333333
2014-01-06,18326.57,22490.88,20737.986666666664
2014-01-07,18143.15,21334.56,19997.546666666665
2014-01-08,17634.7,21367.29,19816.8125
2014-01-09,17450.52,21090.6,19456.34375
2014-01-10,16015.24,19711.34,18207.302083333332
2014-01-11,14624.52,18075.05,16463.577500000003
2014-01-12,14413.21,17732.850000000002,15795.249583333332
2014-01-13,14124.1,19448.3,17178.481666666667
2014-01-14,15059.86,20606.27,18211.002500000002
2014-01-15,16158.35,20498.72,18673.517916666668
2014-01-16,15108.37,21030.3,18415.274583333332
2014-01-17,16660.36,20411.54,18709.225416666668
2014-01-18,15695.21,18766.22,17210.589583333334
2014-01-19,14839.71,17912.86,16039.852499999999
2014-01-20,14466.43,21075.96,18090.873750000002
2014-01-21,17299.03,21566.42,19836.98791666667
2014-01-22,16744.82,22265.8,19693.443333333333
2014-01-23,18041.89,21963.94,20274.91
2014-01-24,17123.920000000002,20472.85,18819.414583333335
2014-01-25,15396.13,19196.71,17380.370833333334
2014-01-26,15356.93,20442.33,17485.608333333334
2014-01-27,17590.36,22084.59,20182.721666666668
2014-01-28,18174.28,21471.65,20189.06166666667
2014-01-29,17701.09,21351.13,19391.935833333333
2014-01-30,15973.87,21014.94,18781.294583333332
2014-01-31,17206.28,20961.68,19200.531666666666
2014-02-01,16174.69,19402.9,17707.794166666667
2014-02-02,16294.17,19066.55,17619.396666666667
2014-02-03,16592.0,20820.92,18977.65666666667
2014-02-04,16757.22,21307.42,19345.763750000002
2014-02-05,17204.14,21433.57,19646.076666666664
2014-02-06,17748.62,21412.75,19894.05125
2014-02-07,17610.58,21247.88,19359.209166666667
2014-02-08,16795.61,19090.49,18007.07375
2014-02-09,16124.56,20155.19,17811.979166666668
2014-02-10,17364.69,21271.87,19596.350833333334
2014-02-11,17856.86,21699.63,19876.170000000002
2014-02-12,16638.75,20403.87,18694.64416666667
2014-02-13,16259.25,20166.5,18503.15541666667
2014-02-14,16602.54,20203.17,18640.527083333334
2014-02-15,16364.73,18872.49,17619.818750000002
2014-02-16,15421.65,19102.9,16926.55875
2014-02-17,15662.15,19523.35,17897.855833333335
2014-02-18,15281.75,18920.04,17245.425416666665
2014-02-19,14707.22,18754.5,17067.270833333332
2014-02-20,14582.66,19712.54,17542.21125
2014-02-21,15527.65,19294.98,17898.895
2014-02-22,15506.0,18202.9,16802.900416666667
2014-02-23,15490.43,18954.16,16831.134166666667
2014-02-24,16025.38,20490.87,18632.31375
2014-02-25,16776.64,20926.97,19170.040416666667
2014-02-26,17589.2,20873.7,19472.845416666667
2014-02-27,17430.81,20739.94,19403.25
2014-02-28,17533.56,20689.16,19090.007083333334
2014-03-01,16389.86,19698.1,18207.847083333334
2014-03-02,17136.28,19636.09,18230.5225
2014-03-03,17395.65,20648.62,19366.3925
2014-03-04,16615.39,19655.44,18466.187916666666
2014-03-05,16111.11,19797.18,18261.10375
2014-03-06,16066.19,19448.72,18079.709166666667
2014-03-07,15325.41,18629.62,17449.64416666667
2014-03-08,14986.91,17241.84,16151.622083333335
2014-03-09,14454.17,16745.07,15350.650833333333
2014-03-10,13696.65,17661.47,16110.852499999999
2014-03-11,13549.61,18150.26,16531.357916666664
2014-03-12,14768.94,18701.26,17158.287500000002
2014-03-13,14818.86,18505.93,16602.6725
2014-03-14,13648.39,17534.170000000002,16007.219166666668
2014-03-15,13976.89,16698.27,15535.585833333336
2014-03-16,14406.45,17274.71,15767.876250000001
2014-03-17,14690.2,18754.47,17022.55916666667
2014-03-18,14330.68,18215.2,16801.587083333336
2014-03-19,14259.49,18079.19,16701.072916666668
2014-03-20,14428.5,18032.96,16334.72625
2014-03-21,13955.32,17802.41,16380.96875
2014-03-22,14694.03,17353.44,16135.769583333333
2014-03-23,14752.47,17304.06,15853.589583333334
2014-03-24,14783.23,18977.84,17424.7575
2014-03-25,15395.31,19440.83,17709.280000000002
2014-03-26,15310.0,19283.45,17272.40625
2014-03-27,14147.48,18430.09,16950.397916666665
2014-03-28,14632.88,18374.77,16613.005416666667
2014-03-29,13999.79,16327.44,14987.550416666665
2014-03-30,13008.41,15710.75,14204.608750000001
2014-03-31,12846.84,17633.48,16105.272500000001
2014-04-01,14411.55,18572.38,16791.094166666666
2014-04-02,14527.9,18183.63,16602.849583333333
2014-04-03,13769.2,17987.84,16587.259583333333
2014-04-04,14219.53,17838.27,16260.345000000001
2014-04-05,13677.22,15896.65,14681.5025
2014-04-06,12716.76,15245.0,13888.869583333333
2014-04-07,12452.28,16912.9,15332.051249999999
2014-04-08,13011.4,17048.81,15509.665416666669
2014-04-09,13201.38,17057.73,15473.114583333334
2014-04-10,12562.27,16630.89,15245.283333333333
2014-04-11,12809.09,16763.54,15037.843333333332
2014-04-12,12072.4,15201.82,13957.128333333334
2014-04-13,12013.18,16237.92,14253.524166666668
2014-04-14,13464.02,18013.58,16414.36291666667
2014-04-15,14343.0,17751.53,16303.8225
2014-04-16,13794.62,17900.27,16436.19916666667
2014-04-17,13841.26,17627.44,15911.171666666667
2014-04-18,13338.45,16739.08,15097.5
2014-04-19,12349.51,14963.67,13779.638333333334
2014-04-20,11472.02,14446.74,12923.39875
2014-04-21,11554.46,16760.86,14963.1775
2014-04-22,12425.53,16425.77,15044.678750000001
2014-04-23,12419.97,16930.96,15539.724999999999
2014-04-24,12863.73,17182.65,15661.0
2014-04-25,12814.38,16449.65,14946.500416666664
2014-04-26,12139.19,14891.65,13716.149166666664
2014-04-27,11962.75,15690.53,14112.581249999997
2014-04-28,12577.93,17596.850000000002,15908.852083333333
2014-04-29,13081.91,17188.4,15846.0475
2014-04-30,13192.88,17406.39,15939.876666666669
2014-05-01,13246.58,17257.87,15739.074583333333
2014-05-02,12870.4,16609.02,15091.049166666666
2014-05-03,12140.62,14542.72,13560.717916666666
2014-05-04,12024.03,14732.27,13327.981250000003
2014-05-05,11939.84,16461.37,14868.276666666667
2014-05-06,12231.14,16397.72,14996.579166666668
2014-05-07,12093.69,16826.11,15360.499583333332
2014-05-08,12503.24,17335.72,15696.218333333332
2014-05-09,12361.66,16533.52,14866.244166666665
2014-05-10,11863.49,14409.18,13469.15125
2014-05-11,11033.4,14911.96,13045.483333333332
2014-05-12,11798.24,17126.77,15318.80260869565
2014-05-13,12349.73,16708.33,15074.621250000002
2014-05-14,12472.75,16387.760000000002,15016.672916666668
2014-05-15,12430.99,16504.54,15092.415833333333
2014-05-16,12595.2,16447.41,14819.198750000001
2014-05-17,12034.63,14413.53,13359.746249999998
2014-05-18,11300.41,14726.29,13107.041666666666
2014-05-19,11741.21,16925.760000000002,15174.11708333333
2014-05-20,12339.75,17614.05,15753.09625
2014-05-21,12527.78,17182.14,15515.5
2014-05-22,12164.61,16665.47,15147.074583333333
2014-05-23,12170.32,16948.33,15153.982083333334
2014-05-24,11506.49,15139.55,13730.886666666667
2014-05-25,11344.2,15154.55,13631.577083333332
2014-05-26,11775.07,17405.54,14925.794583333334
2014-05-27,12825.18,19618.5,16971.85875
2014-05-28,13009.57,19613.07,16991.00875
2014-05-29,12968.58,20316.76,17334.34041666667
2014-05-30,13289.2,21230.69,17913.396666666667
2014-05-31,13267.08,18825.29,16378.956250000001
2014-06-01,12801.82,17962.170000000002,15702.019166666667
2014-06-02,13093.46,20073.76,17199.342500000002
2014-06-03,12852.28,18868.74,16485.657083333335
2014-06-04,12842.64,19099.57,16739.5175
2014-06-05,12898.75,18761.47,16462.17583333333
2014-06-06,12707.65,19846.61,16866.924583333333
2014-06-07,12538.49,15809.7,14282.751250000001
2014-06-08,11241.74,15189.7,13451.150416666665
2014-06-09,11949.49,17945.12,15742.948333333334
2014-06-10,12601.95,18128.48,16117.85875
2014-06-11,12776.27,19497.37,16877.5
2014-06-12,13187.79,17573.41,15945.485833333334
2014-06-13,12379.79,17545.95,15572.596666666665
2014-06-14,12077.23,15471.69,14230.5175
2014-06-15,11756.92,16311.18,14311.832083333333
2014-06-16,12662.3,20450.25,17267.1425
2014-06-17,13334.12,21518.65,18124.4925
2014-06-18,14676.83,21725.38,18819.190416666668
2014-06-19,14458.91,20049.2,17873.082916666666
2014-06-20,13654.77,21627.51,18235.888750000002
2014-06-21,13607.58,20093.92,17061.580416666668
2014-06-22,12952.39,17860.8,15875.847499999998
2014-06-23,13268.53,21048.7,17957.564583333336
2014-06-24,13643.13,21387.87,18202.765
2014-06-25,13352.14,19870.78,17338.454583333336
2014-06-26,13564.09,20781.6,17810.087916666667
2014-06-27,14271.13,21043.99,18293.047083333335
2014-06-28,14239.27,20047.99,17332.459583333333
2014-06-29,12953.7,19896.73,16554.060416666667
2014-06-30,14095.55,20560.55,17624.507916666666
2014-07-01,13253.3,19059.05,16612.008749999997
2014-07-02,12723.35,17434.87,15764.14833333333
2014-07-03,12571.85,17989.54,15879.724166666667
2014-07-04,12079.44,16311.65,14500.969583333334
2014-07-05,12080.93,18293.31,15501.825416666667
2014-07-06,13161.59,21110.65,17221.585416666665
2014-07-07,14006.44,22635.84,18900.096666666668
2014-07-08,13930.61,19987.83,17651.965833333335
2014-07-09,13318.97,20116.95,17276.798749999998
2014-07-10,13517.13,21572.0,18087.112916666665
2014-07-11,14207.4,20534.13,18040.806666666667
2014-07-12,14311.1,18773.79,16862.31625
2014-07-13,12903.84,18479.21,15860.72375
2014-07-14,13135.57,18429.56,16260.019166666665
2014-07-15,12619.48,17574.39,15822.189583333335
2014-07-16,12783.98,18633.17,16453.640833333335
2014-07-17,13155.25,19728.57,17090.464583333334
2014-07-18,13557.44,19913.97,17272.752500000002
2014-07-19,13217.95,18371.78,16160.008749999999
2014-07-20,13199.48,21153.14,17371.726666666666
2014-07-21,14940.63,25105.78,20942.672083333335
2014-07-22,16714.14,23465.82,20650.665833333336
2014-07-23,14426.57,21814.69,18622.134583333333
2014-07-24,13942.87,20730.5,17892.632500000003
2014-07-25,13959.09,20542.19,17840.46416666667
2014-07-26,14082.71,20706.38,17640.315000000002
2014-07-27,13282.84,17202.88,15540.732083333334
2014-07-28,12975.18,19205.8,16792.47875
2014-07-29,13151.45,19908.81,17198.003333333334
2014-07-30,13393.47,20671.75,17579.15166666667
2014-07-31,13648.63,21374.19,18026.869166666667
2014-08-01,13856.62,21532.19,18147.0125
2014-08-02,13402.45,20285.61,17055.554166666665
2014-08-03,13157.52,20698.77,17128.184583333332
2014-08-04,14164.35,22245.62,18841.12958333333
2014-08-05,14052.56,20851.79,18031.81166666667
2014-08-06,13951.22,20743.77,17940.052916666667
2014-08-07,13852.35,20703.06,17942.234583333335
2014-08-08,14080.43,21090.49,18068.755833333333
2014-08-09,13527.61,18479.57,16416.539583333335
2014-08-10,13035.57,18754.53,16175.135
2014-08-11,13669.81,19970.66,17489.859166666665
2014-08-12,13128.75,19363.97,16874.8275
2014-08-13,13163.01,21177.88,17744.462083333332
2014-08-14,13727.62,20820.19,17777.662916666668
2014-08-15,13886.43,20946.17,18026.974166666667
2014-08-16,13794.64,19928.21,17103.645416666666
2014-08-17,13550.58,19259.15,16573.616250000003
2014-08-18,13768.27,22951.23,18965.56583333333
2014-08-19,14206.98,22156.75,18735.58
2014-08-20,14253.96,21696.28,18649.86625
2014-08-21,14690.72,21876.61,19264.4575
2014-08-22,15260.77,21816.29,19257.512916666667
2014-08-23,14613.99,19550.63,17378.86333333333
2014-08-24,14213.07,22222.26,18373.80875
2014-08-25,15007.08,22209.77,19291.306249999998
2014-08-26,13989.51,19719.89,17396.898333333334
2014-08-27,13670.09,19721.26,17346.53125
2014-08-28,13654.47,19064.87,17197.697916666668
2014-08-29,13870.11,20508.73,17730.142083333332
2014-08-30,13151.4,17883.16,15818.393333333333
2014-08-31,12466.19,18817.5,15833.631666666666
2014-09-01,12706.35,18361.53,15743.6825
2014-09-02,12739.66,20208.97,17209.609166666665
2014-09-03,13248.18,20621.86,17739.685416666667
2014-09-04,14348.99,22627.56,19355.361666666668
2014-09-05,13834.12,17951.69,16295.805
2014-09-06,11955.05,16114.55,14388.487083333333
2014-09-07,11802.18,16698.25,14328.125416666668
2014-09-08,12383.36,18416.73,16241.515
2014-09-09,12890.59,18679.97,16700.305416666666
2014-09-10,13310.89,17519.510000000002,15897.519583333333
2014-09-11,12356.54,16661.170000000002,15246.572083333334
2014-09-12,12500.97,16753.94,15129.9325
2014-09-13,12233.24,14961.06,13901.4275
2014-09-14,11557.03,15365.5,13511.274583333334
2014-09-15,12099.92,16835.47,15229.447916666666
2014-09-16,12491.62,16790.56,15386.180833333332
2014-09-17,12350.46,17425.1,15678.640416666667
