Region,Model,N_Harmonics,AR_Order,MA_Order,GARCH_p,GARCH_q,N_Params,R²,Residual_Std,Log_Likelihood,AIC,BIC,GARCH_ω,GARCH_Σα,GARCH_Σβ,Persistence,Avg_Volatility
Boston,"3H + ARMA(0,0) + GARCH(1,1)",3,0,0,1,1,12,0.5074467864480254,275.18077736668135,-22479.248404256556,44982.49680851311,45055.669575397085,0.17583177319055537,0.1731945082860709,0.8244111025708087,0.9976056108568796,233.8046800875695
Boston,"3H + ARMA(0,0) + GARCH(1,2)",3,0,0,1,2,13,0.5074467864480254,275.18077736668135,-22440.893576919487,44907.78715383897,44987.05765129661,0.14316967408191394,0.14176753933667177,0.8579910798358201,0.9997586191724919,238.873910484614
Boston,"3H + ARMA(0,0) + GARCH(1,3)",3,0,0,1,3,14,0.5074467864480254,275.18077736668135,-22367.985028746545,44763.97005749309,44849.33828552439,0.1376070832829238,0.25992272009148987,0.7395424168221206,0.9994651369136105,234.49259606278383
Boston,"3H + ARMA(0,0) + GARCH(2,1)",3,0,0,2,1,13,0.5074467864480254,275.18077736668135,-22592.8220538906,45211.6441077812,45290.91460523883,0.1,0.2,0.8,1.0,233.55734850918506
Boston,"3H + ARMA(0,0) + GARCH(2,2)",3,0,0,2,2,14,0.5074467864480254,275.18077736668135,-22516.993892858,45061.987785716,45147.3560137473,0.1,0.2,0.8,1.0,237.2445106134213
Boston,"3H + ARMA(0,0) + GARCH(2,3)",3,0,0,2,3,15,0.5074467864480254,275.18077736668135,-22494.26718160142,45018.53436320284,45110.0003218078,0.1,0.2,0.8,1.0,238.30675560400545
Boston,"3H + ARMA(0,0) + GARCH(3,1)",3,0,0,3,1,14,0.5074467864480254,275.18077736668135,-22583.775573108665,45195.55114621733,45280.91937424863,0.1,0.30000000000000004,0.8,1.1,286.1935023035753
Boston,"3H + ARMA(0,0) + GARCH(3,2)",3,0,0,3,2,15,0.5074467864480254,275.18077736668135,-22568.94756410778,45167.89512821556,45259.36108682052,0.1,0.30000000000000004,0.8,1.1,290.40281226456386
Boston,"3H + ARMA(0,0) + GARCH(3,3)",3,0,0,3,3,16,0.5074467864480254,275.18077736668135,-22579.411029561765,45190.82205912353,45288.38574830216,0.1,0.30000000000000004,0.8,1.1,293.48542713736856
Boston,"3H + ARMA(0,1) + GARCH(1,1)",3,0,1,1,1,13,0.7290220451172287,204.10727996002115,-21720.985479270887,43467.97095854177,43547.24145599941,0.17512280856649698,0.17202661613902764,0.8264471124074918,0.9984737285465195,174.08570411940113
Boston,"3H + ARMA(0,1) + GARCH(1,2)",3,0,1,1,2,14,0.7290220451172287,204.10727996002115,-21638.192960461005,43304.38592092201,43389.75414895331,0.14203785430706745,0.13743534137741606,0.8613557170510866,0.9987910584285027,175.7537628215122
Boston,"3H + ARMA(0,1) + GARCH(1,3)",3,0,1,1,3,15,0.7290220451172287,204.10727996002115,-21645.67656516166,43321.35313032332,43412.81908892828,0.1293170861351333,0.12915036949847974,0.8704907859265633,0.9996411554250431,178.76870120554665
Boston,"3H + ARMA(0,1) + GARCH(2,1)",3,0,1,2,1,14,0.7290220451172287,204.10727996002115,-21761.556247066008,43551.112494132016,43636.48072216332,0.1,0.2,0.8,1.0,173.166841665413
