Var1,Var2,Quantile,Chi_Upper,Chi_Bar_Lower,P_Both_Upper,P_Both_Lower,Expected_Indep,N_Both_Upper,N_Both_Lower,Upper_TD_Ratio,Lower_TD_Ratio
Boston_Temp,Boston_Load,0.9,1.136544954676301,1.3055005202689745,0.0696895922093731,0.0,0.009999999999999995,229,0,6.968959220937313,0.0
Boston_Temp,Boston_Load,0.95,1.1079055011997732,1.2388121065542501,0.036518563603164945,0.0,0.0025000000000000044,120,0,14.607425441265953,0.0
Boston_Temp,Boston_Load,0.99,1.0954513084994466,1.1579206768035966,0.005173463177115033,0.0,0.00010000000000000018,17,0,51.73463177115024,0.0
Boston_Temp,NewYork_Temp,0.9,1.1096728082759997,1.0710434059198686,0.07821059038344491,0.08825319537431528,0.009999999999999995,257,290,7.821059038344495,8.825319537431533
Boston_Temp,NewYork_Temp,0.95,1.1264949146637881,1.0605894275990928,0.03804017041996348,0.04412659768715764,0.0025000000000000044,125,145,15.216068167985364,17.650639074863026
Boston_Temp,NewYork_Temp,0.99,1.1157602339535786,1.0584004482402718,0.005477784540474742,0.007608034083992696,0.00010000000000000018,18,25,54.77784540474732,76.08034083992682
Boston_Temp,NewYork_Load,0.9,1.129736167124027,1.3048459693057302,0.07181984175289105,0.00030432136335970786,0.009999999999999995,236,1,7.1819841752891085,0.030432136335970802
Boston_Temp,NewYork_Load,0.95,1.119467114020957,1.2388121065542501,0.03408399269628728,0.0,0.0025000000000000044,112,0,13.633597078514887,0.0
Boston_Temp,NewYork_Load,0.99,1.1078631003619628,1.1579206768035966,0.00426049908703591,0.0,0.00010000000000000018,14,0,42.60499087035902,0.0
Boston_Temp,Chicago_Temp,0.9,1.2260575722056553,1.1708614021155914,0.04990870359099209,0.055690809494826535,0.009999999999999995,164,183,4.990870359099211,5.5690809494826565
Boston_Temp,Chicago_Temp,0.95,1.2183266489858113,1.144103485980793,0.01978088861838101,0.02525867315885575,0.0025000000000000044,65,83,7.91235544735239,10.103469263542282
Boston_Temp,Chicago_Temp,0.99,1.1849115830367194,1.148122898771906,0.0006086427267194157,0.0018259281801582471,0.00010000000000000018,2,6,6.086427267194146,18.25928180158244
Boston_Temp,Chicago_Load,0.9,1.2116862229221856,1.304190430340657,0.04382227632379793,0.0006086427267194157,0.009999999999999995,144,2,4.382227632379795,0.060864272671941604
Boston_Temp,Chicago_Load,0.95,1.1850291465195044,1.2388121065542501,0.01856360316494218,0.0,0.0025000000000000044,61,0,7.4254412659768585,0.0
Boston_Temp,Chicago_Load,0.99,1.1413364951772693,1.1579206768035966,0.0015216068167985392,0.0,0.00010000000000000018,5,0,15.216068167985364,0.0
Boston_Temp,Minneapolis_Temp,0.9,1.2346115448842996,1.190050223237716,0.034996956786366405,0.047778454047474134,0.009999999999999995,115,157,3.4996956786366424,4.777845404747416
Boston_Temp,Minneapolis_Temp,0.95,1.2204327014020975,1.1779516757328876,0.010346926354230066,0.017650639074863056,0.0025000000000000044,34,58,4.138770541692019,7.06025562994521
Boston_Temp,Minneapolis_Temp,0.99,1.148122898771906,1.1514381882214129,0.0009129640900791236,0.0018259281801582471,0.00010000000000000018,3,6,9.12964090079122,18.25928180158244
Boston_Temp,Minneapolis_Load,0.9,1.2607592632902684,1.3055005202689745,0.024345709068776627,0.0,0.009999999999999995,80,0,2.434570906877664,0.0
Boston_Temp,Minneapolis_Load,0.95,1.2183266489858113,1.2388121065542501,0.009433962264150943,0.0,0.0025000000000000044,31,0,3.7735849056603707,0.0
Boston_Temp,Minneapolis_Load,0.99,1.1514381882214129,1.1579206768035966,0.0006086427267194157,0.0,0.00010000000000000018,2,0,6.086427267194146,0.0
Boston_Load,NewYork_Temp,0.9,1.1316924518818887,1.3100549610699492,0.06512477175897748,0.0,0.009999999999999995,214,0,6.512477175897751,0.0
Boston_Load,NewYork_Temp,0.95,1.125101141446021,1.2388121065542501,0.03317102860620816,0.0,0.0025000000000000044,109,0,13.26841144248324,0.0
Boston_Load,NewYork_Temp,0.99,1.1196036482867242,1.1514381882214129,0.004564820450395618,0.0,0.00010000000000000018,15,0,45.6482045039561,0.0
Boston_Load,NewYork_Load,0.9,1.1013805376130499,1.1013805376130499,0.073950091296409,0.073950091296409,0.009999999999999995,243,243,7.395009129640904,7.395009129640904
Boston_Load,NewYork_Load,0.95,1.0755014544333852,1.0959290345503225,0.03773584905660377,0.03377967133292757,0.0025000000000000044,124,111,15.094339622641483,13.511868533171006
Boston_Load,NewYork_Load,0.99,1.0954513084994466,1.0954513084994466,0.004564820450395618,0.004564820450395618,0.00010000000000000018,15,15,45.6482045039561,45.6482045039561
Boston_Load,Chicago_Temp,0.9,1.2353808887203956,1.3055005202689745,0.039866098600121726,0.0,0.009999999999999995,131,0,3.9866098600121744,0.0
Boston_Load,Chicago_Temp,0.95,1.2204327014020975,1.2327973816531819,0.01399878271454656,0.0,0.0025000000000000044,46,0,5.599513085818614,0.0
Boston_Load,Chicago_Temp,0.99,1.1791968521463283,1.161090765819106,0.0006086427267194157,0.0,0.00010000000000000018,2,0,6.086427267194146,0.0
Boston_Load,Chicago_Load,0.9,1.1699687101632503,1.161850819941071,0.05234327449786975,0.05508216676810712,0.009999999999999995,172,181,5.234327449786977,5.508216676810715
Boston_Load,Chicago_Load,0.95,1.164573236036785,1.1360917045838295,0.01856360316494218,0.02525867315885575,0.0025000000000000044,61,83,7.4254412659768585,10.103469263542282
Boston_Load,Chicago_Load,0.99,1.1378620651996054,1.1307418456423002,0.0012172854534388314,0.0018259281801582471,0.00010000000000000018,4,6,12.172854534388293,18.25928180158244
Boston_Load,Minneapolis_Temp,0.9,1.2361488720892286,1.3028763764428257,0.02799756542909312,0.0,0.009999999999999995,92,0,2.7997565429093134,0.0
Boston_Load,Minneapolis_Temp,0.95,1.2151424448661814,1.2348143557697622,0.006695069993913573,0.0,0.0025000000000000044,22,0,2.678027997565424,0.0
Boston_Load,Minneapolis_Temp,0.99,1.148122898771906,1.164215240457607,0.00030432136335970786,0.0,0.00010000000000000018,1,0,3.043213633597073,0.0
Boston_Load,Minneapolis_Load,0.9,1.225271518630156,1.1726413000245774,0.03225806451612903,0.05143031040779063,0.009999999999999995,106,169,3.225806451612905,5.143031040779065
Boston_Load,Minneapolis_Load,0.95,1.2032000648741135,1.1682753982066376,0.00852099817407182,0.017650639074863056,0.0025000000000000044,28,58,3.4083992696287218,7.06025562994521
Boston_Load,Minneapolis_Load,0.99,1.148122898771906,1.1196036482867242,0.00030432136335970786,0.002738892270237371,0.00010000000000000018,1,9,3.043213633597073,27.38892270237366
NewYork_Temp,NewYork_Load,0.9,1.0886374870420665,1.3100549610699492,0.07790626902008521,0.0,0.009999999999999995,256,0,7.790626902008525,0.0
