Date,min,max,avg
2009-07-06,15132.0,26522.0,21574.958333333332
2009-07-07,16726.0,28438.0,23193.583333333332
2009-07-08,17239.0,28194.0,23309.416666666668
2009-07-09,16536.0,28577.0,23031.166666666668
2009-07-10,17963.0,30901.0,24905.166666666668
2009-07-11,17242.0,28095.0,22913.791666666668
2009-07-12,16241.0,26691.0,21796.208333333332
2009-07-13,16629.0,27699.0,22775.333333333332
2009-07-14,17273.0,28645.0,23427.958333333332
2009-07-15,17410.0,29528.0,24015.75
2009-07-16,18123.0,28736.0,23926.458333333332
2009-07-17,17814.0,24965.0,21796.375
2009-07-18,15101.0,20514.0,18040.916666666668
2009-07-19,13910.0,20973.0,17574.333333333332
2009-07-20,14917.0,24970.0,20557.916666666668
2009-07-21,16322.0,24647.0,20995.5
2009-07-22,15999.0,24119.0,20670.083333333332
2009-07-23,15872.0,24873.0,20967.916666666668
2009-07-24,16764.0,27392.0,22553.375
2009-07-25,17415.0,26051.0,21931.666666666668
2009-07-26,15488.0,24176.0,20063.458333333332
2009-07-27,16914.0,29389.0,23711.708333333332
2009-07-28,18137.0,29487.0,24383.708333333332
2009-07-29,18050.0,28182.0,23599.875
2009-07-30,16927.0,26991.0,22574.083333333332
2009-07-31,16963.0,26405.0,22081.208333333332
2009-08-01,16095.0,25339.0,20842.583333333332
2009-08-02,15029.0,24152.0,19650.0
2009-08-03,16151.0,29038.0,23225.875
2009-08-04,18241.0,29127.0,24272.666666666668
2009-08-05,17901.0,29431.0,24435.5
2009-08-06,17627.0,27960.0,23299.583333333332
2009-08-07,17430.0,28651.0,23477.166666666668
2009-08-08,16594.0,28600.0,22915.25
2009-08-09,18050.0,30780.0,24703.125
2009-08-10,20335.0,32314.0,27058.5
2009-08-11,19614.0,30840.0,25724.416666666668
2009-08-12,18386.0,28812.0,24066.458333333332
2009-08-13,17829.0,29403.0,24099.458333333332
2009-08-14,17663.0,29553.0,24026.208333333332
2009-08-15,17054.0,28698.0,22978.375
2009-08-16,17570.0,29630.0,23857.875
2009-08-17,19448.0,31847.0,26422.666666666668
2009-08-18,19506.0,30450.0,25630.291666666668
2009-08-19,18550.0,30227.0,25010.958333333332
2009-08-20,19266.0,28636.0,24419.458333333332
2009-08-21,17486.0,25802.0,21913.708333333332
2009-08-22,15492.0,21968.0,18907.083333333332
2009-08-23,14327.0,21659.0,18103.583333333332
2009-08-24,14986.0,25474.0,20847.541666666668
2009-08-25,16377.0,27545.0,22440.541666666668
2009-08-26,16633.0,28614.0,23192.666666666668
2009-08-27,17983.0,29863.0,24388.583333333332
2009-08-28,18098.0,27579.0,23145.416666666668
2009-08-29,15775.0,21635.0,18895.458333333332
2009-08-30,14776.0,20575.0,17859.625
2009-08-31,14463.0,22978.0,19600.916666666668
2009-09-01,15000.0,22048.0,19371.166666666668
2009-09-02,15382.0,22993.0,19871.708333333332
2009-09-03,15690.0,23943.0,20527.75
2009-09-04,16026.0,24192.0,20694.625
2009-09-05,15162.0,22306.0,19042.083333333332
2009-09-06,14378.0,21481.0,18081.833333333332
