Date,min,max,avg
2009-07-06,20323.99,33062.8,28127.989583333332
2009-07-07,21673.54,31988.07,27699.694166666664
2009-07-08,21170.09,31394.19,27335.640833333335
2009-07-09,21320.87,33467.73,28635.972916666662
2009-07-10,22259.16,34897.1,29816.782083333335
2009-07-11,22720.43,32001.79,27596.23291666667
2009-07-12,19403.02,28737.7,24671.105833333335
2009-07-13,21161.08,33115.78,28374.79625
2009-07-14,21556.21,32863.96,28381.0675
2009-07-15,22504.19,35849.33,30641.31125
2009-07-16,24107.05,36470.44,31189.097500000003
2009-07-17,22470.21,31751.17,27405.219166666666
2009-07-18,19945.99,25398.76,23208.15125
2009-07-19,18828.22,25949.66,22865.490416666667
2009-07-20,20698.29,32933.19,28198.23
2009-07-21,22304.39,33954.33,28957.4275
2009-07-22,22642.54,33392.840000000004,28932.71375
2009-07-23,22695.34,33239.64,29069.41875
2009-07-24,22310.51,33705.81,28868.50416666667
2009-07-25,21791.0,29368.97,26117.094166666666
2009-07-26,20192.39,28362.78,24912.679583333334
2009-07-27,22006.85,36566.82,30831.561666666665
2009-07-28,24288.32,38662.0,32415.63333333333
2009-07-29,24403.72,35231.31,30823.237083333337
2009-07-30,22974.96,34584.39,29878.30791666667
2009-07-31,23177.7,34753.33,29761.87375
2009-08-01,21123.29,29001.86,25722.955416666668
2009-08-02,20399.77,27951.15,24578.65166666667
2009-08-03,21504.09,35238.63,30101.94916666667
2009-08-04,24401.97,39463.04,32761.487916666665
2009-08-05,23456.28,35224.44,30209.906666666666
2009-08-06,22500.96,34021.15,29424.98125
2009-08-07,22546.32,33190.78,28432.28541666667
2009-08-08,21280.25,31127.72,26619.50458333333
2009-08-09,23256.49,39554.22,31953.70458333333
2009-08-10,26198.66,43114.3,35738.40666666667
2009-08-11,25929.99,40244.6,33919.198333333334
2009-08-12,24459.42,38238.45,32326.466249999998
2009-08-13,24020.86,39341.07,32746.29416666667
2009-08-14,24582.45,41020.04,33599.17458333333
2009-08-15,23691.78,37742.16,31097.01708333333
2009-08-16,22836.39,38153.76,31126.587500000005
2009-08-17,26065.56,41594.46,34878.262500000004
2009-08-18,25867.95,40268.15,33980.42791666667
2009-08-19,24512.64,39150.47,32873.21375
2009-08-20,25187.44,38418.41,32587.23583333333
2009-08-21,23914.82,34507.06,29708.167083333334
2009-08-22,21150.06,26672.3,24347.240833333333
2009-08-23,19585.18,26968.71,23334.525000000005
2009-08-24,21079.84,33603.770000000004,28873.844166666666
2009-08-25,22552.19,35828.49,30506.73708333333
2009-08-26,23928.01,34352.47,30007.934583333335
