Date,min,max,avg
2022-12-31,14804.0,17379.0,15893.083333333334
2023-01-01,13744.0,17778.0,15662.916666666666
2023-01-02,14151.0,19586.0,17536.0
2023-01-03,14344.0,19145.0,17164.625
2023-01-04,15167.0,20237.0,18297.75
2023-01-05,15698.0,20302.0,18502.666666666668
2023-01-06,16292.0,19914.0,18444.541666666668
2023-01-07,15715.0,18744.0,17328.958333333332
2023-01-08,15623.0,18938.0,17102.083333333332
2023-01-09,16083.0,20574.0,18845.958333333332
2023-01-10,17056.0,20505.0,19136.416666666668
2023-01-11,16784.0,20138.0,18771.458333333332
2023-01-12,17085.0,20346.0,18975.708333333332
2023-01-13,17058.0,20285.0,18996.791666666668
2023-01-14,15553.0,18794.0,17163.083333333332
2023-01-15,15058.0,18387.0,16521.75
2023-01-16,16162.0,20065.0,18534.125
2023-01-17,16903.0,20153.0,18824.791666666668
2023-01-18,17107.0,20225.0,18973.333333333332
2023-01-19,16801.0,19957.0,18756.791666666668
2023-01-20,16705.0,20188.0,18812.541666666668
2023-01-21,15655.0,18682.0,17408.125
2023-01-22,14591.0,18691.0,16737.416666666668
2023-01-23,16729.0,20647.0,19141.083333333332
2023-01-24,16847.0,20546.0,19156.5
2023-01-25,17222.0,20484.0,19145.458333333332
2023-01-26,17441.0,20633.0,19313.708333333332
2023-01-27,16962.0,20592.0,19126.958333333332
2023-01-28,15947.0,19203.0,17606.875
2023-01-29,15394.0,19102.0,17312.541666666668
2023-01-30,16945.0,21598.0,19808.708333333332
2023-01-31,18400.0,21763.0,20429.333333333332
2023-02-01,18266.0,21323.0,20216.666666666668
2023-02-02,18283.0,21110.0,20018.916666666668
2023-02-03,17948.0,21586.0,20125.458333333332
2023-02-04,16871.0,18902.0,17937.166666666668
2023-02-05,15863.0,18698.0,17274.125
2023-02-06,15922.0,20323.0,18806.541666666668
2023-02-07,16532.0,19915.0,18811.75
2023-02-08,16699.0,20030.0,18662.958333333332
2023-02-09,16263.0,19649.0,18486.208333333332
2023-02-10,16728.0,19972.0,18697.833333333332
2023-02-11,15495.0,17647.0,16769.541666666668
2023-02-12,14126.0,17397.0,15768.958333333334
2023-02-13,15593.0,19278.0,17946.708333333332
2023-02-14,16163.0,19396.0,18054.916666666668
2023-02-15,15812.0,19657.0,18378.291666666668
2023-02-16,16875.0,19955.0,18803.5
2023-02-17,16834.0,20347.0,18793.291666666668
2023-02-18,15590.0,17697.0,16740.75
2023-02-19,14974.0,17247.0,15920.541666666666
2023-02-20,15588.0,19252.0,17919.583333333332
2023-02-21,16299.0,19849.0,18526.166666666668
2023-02-22,17360.0,20243.0,19173.833333333332
2023-02-23,18217.0,20709.0,19571.708333333332
2023-02-24,16431.0,19665.0,18301.333333333332
2023-02-25,15430.0,17426.0,16466.458333333332
2023-02-26,15074.0,17547.0,15941.166666666666
2023-02-27,17057.0,19655.0,18480.375
2023-02-28,16816.0,20309.0,18920.666666666668
2023-03-01,16116.0,19256.0,17978.75
2023-03-02,16249.0,19442.0,18136.916666666668
2023-03-03,16367.0,19535.0,18344.833333333332
2023-03-04,15514.0,17655.0,16749.208333333332
2023-03-05,13971.0,17306.0,15541.791666666666
2023-03-06,15602.0,19606.0,18245.791666666668
2023-03-07,16656.0,19633.0,18459.0
2023-03-08,16474.0,19262.0,18146.125
2023-03-09,16447.0,19384.0,18257.333333333332
2023-03-10,16382.0,19706.0,18365.083333333332
2023-03-11,15447.0,17727.0,16716.25
2023-03-12,15483.0,17585.0,16395.166666666668
2023-03-13,16379.0,20170.0,18855.458333333332
2023-03-14,17021.0,20240.0,18801.125
2023-03-15,16605.0,19971.0,18386.25
2023-03-16,16476.0,19206.0,18128.833333333332
2023-03-17,15808.0,19433.0,18075.166666666668
2023-03-18,15518.0,18551.0,17158.333333333332
2023-03-19,14958.0,17604.0,16210.75
2023-03-20,16231.0,19863.0,18370.416666666668
2023-03-21,16153.0,19322.0,18015.666666666668
2023-03-22,16128.0,19177.0,17874.5
2023-03-23,16569.0,19160.0,18098.375
2023-03-24,15748.0,18863.0,17273.458333333332
2023-03-25,14637.0,16895.0,16073.833333333334
2023-03-26,14066.0,16879.0,15537.041666666666
2023-03-27,15061.0,19154.0,17600.25
2023-03-28,15553.0,18942.0,17459.916666666668
2023-03-29,15434.0,19140.0,17726.833333333332
2023-03-30,16046.0,19049.0,17522.875
2023-03-31,15560.0,18568.0,17176.875
2023-04-01,14801.0,17140.0,16346.5
2023-04-02,13962.0,16597.0,15258.083333333334
2023-04-03,15204.0,18742.0,17399.833333333332
2023-04-04,14820.0,18668.0,17114.875
2023-04-05,15170.0,19028.0,17398.25
2023-04-06,15223.0,18546.0,17209.625
2023-04-07,14222.0,17203.0,15887.875
2023-04-08,13885.0,15166.0,14481.25
2023-04-09,13369.0,14755.0,13975.708333333334
2023-04-10,13618.0,17604.0,16084.333333333334
2023-04-11,14669.0,18034.0,16770.375
2023-04-12,15065.0,18946.0,17401.166666666668
2023-04-13,15287.0,19419.0,17625.75
2023-04-14,14915.0,19284.0,17430.833333333332
2023-04-15,14310.0,18319.0,16240.875
2023-04-16,14040.0,15865.0,15034.333333333334
2023-04-17,15016.0,19234.0,17598.5
2023-04-18,15320.0,18872.0,17260.5
2023-04-19,15641.0,18681.0,17343.458333333332
2023-04-20,15054.0,18774.0,17465.0
2023-04-21,14796.0,18193.0,16727.791666666668
2023-04-22,14192.0,16069.0,15333.583333333334
2023-04-23,13935.0,16198.0,15213.208333333334
2023-04-24,15211.0,18976.0,17493.375
2023-04-25,15447.0,18845.0,17451.0
2023-04-26,15550.0,18624.0,17393.416666666668
2023-04-27,15374.0,18212.0,16999.916666666668
2023-04-28,14696.0,18031.0,16553.958333333332
2023-04-29,14049.0,15994.0,15261.583333333334
2023-04-30,14123.0,16102.0,15098.833333333334
2023-05-01,14869.0,19129.0,17567.291666666668
2023-05-02,15950.0,19521.0,18033.166666666668
2023-05-03,15641.0,18883.0,17454.5
2023-05-04,15111.0,18279.0,17033.958333333332
2023-05-05,14927.0,17920.0,16654.791666666668
2023-05-06,14019.0,15616.0,15101.541666666666
2023-05-07,13345.0,16628.0,15226.875
2023-05-08,14489.0,18155.0,16672.208333333332
2023-05-09,14668.0,18646.0,17141.958333333332
2023-05-10,14062.0,18817.0,17072.75
