Date,min,max,avg
2022-12-31,4534.32,5197.02,4834.424166666667
2023-01-01,4132.2300000000005,4701.99,4362.487916666666
2023-01-02,3867.98,5059.0,4488.80875
2023-01-03,4059.75,5271.09,4771.931666666666
2023-01-04,4359.6,5820.33,5263.3550000000005
2023-01-05,4821.28,6065.91,5556.013750000001
2023-01-06,5046.95,5969.1,5443.660833333334
2023-01-07,4814.87,5589.8,5184.822916666666
2023-01-08,4721.57,5726.73,5194.097083333333
2023-01-09,5155.25,6188.91,5595.412083333334
2023-01-10,4960.22,5803.96,5259.020416666666
2023-01-11,4578.66,5457.02,5050.794166666667
2023-01-12,4499.87,6121.16,5441.665
2023-01-13,5160.7300000000005,6242.62,5818.72375
2023-01-14,5076.9400000000005,5707.95,5380.579166666666
2023-01-15,4792.63,5402.51,5088.300416666667
2023-01-16,4564.01,5587.97,5171.479583333333
2023-01-17,4464.07,5577.4,5162.775000000001
2023-01-18,4711.08,6044.86,5490.479166666667
2023-01-19,4678.56,6169.51,5498.87625
2023-01-20,5049.64,5999.43,5610.791666666667
2023-01-21,4884.6900000000005,5394.92,5122.34875
2023-01-22,4626.46,5590.55,5074.419583333333
2023-01-23,4840.51,5936.29,5486.013333333333
2023-01-24,5082.67,6002.08,5510.974166666667
2023-01-25,4948.81,6160.28,5660.3862500000005
2023-01-26,5221.89,6359.82,5908.160416666667
2023-01-27,5190.9400000000005,6254.63,5712.69875
2023-01-28,4802.13,5283.39,5009.548333333333
2023-01-29,4495.45,5945.31,5247.138333333333
2023-01-30,5256.94,6816.92,6214.357499999999
2023-01-31,5953.65,6815.65,6361.875416666666
2023-02-01,5853.21,6812.15,6205.054166666666
2023-02-02,5588.42,6606.62,5979.09125
2023-02-03,5829.87,6846.76,6257.606666666667
2023-02-04,5168.32,6019.85,5620.352083333334
2023-02-05,4380.78,5107.68,4811.548333333333
2023-02-06,4711.7300000000005,5889.45,5254.619583333333
2023-02-07,4531.68,5464.55,5049.1970833333335
2023-02-08,4693.650000000001,5680.37,5298.31625
2023-02-09,4596.28,5817.87,5343.108749999999
2023-02-10,4878.21,5719.55,5312.144583333334
2023-02-11,4533.64,5531.44,5065.659166666667
2023-02-12,4361.9400000000005,5183.28,4805.144166666666
2023-02-13,4470.12,5340.21,4865.864583333333
2023-02-14,4684.35,5529.68,5198.799166666667
2023-02-15,4440.37,5302.68,4895.0704166666665
2023-02-16,4544.32,5883.51,5392.252916666667
