Date,min,max,avg
2022-12-31,14965.24,17699.34,16429.541666666668
2023-01-01,15195.08,17660.3,16345.132083333336
2023-01-02,14557.11,19215.13,16982.530416666665
2023-01-03,15238.1,19495.28,17536.131666666668
2023-01-04,15050.83,19195.88,17447.491250000003
2023-01-05,16576.78,20403.8,18333.626666666667
2023-01-06,17647.89,21845.61,18826.872083333335
2023-01-07,16242.73,18150.89,17225.520833333336
2023-01-08,14980.47,18954.53,16861.69583333333
2023-01-09,16448.22,20956.94,18574.791666666668
2023-01-10,17035.04,20809.32,18399.842500000002
2023-01-11,15211.9,19236.66,17384.390416666665
2023-01-12,15124.42,20048.38,17749.478333333333
2023-01-13,17743.66,22652.75,20376.921666666665
2023-01-14,18411.09,24256.09,21280.305416666666
2023-01-15,17564.06,22697.43,19841.658333333336
2023-01-16,16024.32,19099.85,17675.987083333333
2023-01-17,15121.62,19411.54,17421.905416666665
2023-01-18,15268.51,19467.34,17675.931249999998
2023-01-19,15315.56,19458.23,17559.3725
2023-01-20,17014.23,21147.86,19121.491250000003
2023-01-21,17831.79,20180.02,19098.840416666666
2023-01-22,16802.88,20666.19,18609.63625
2023-01-23,18255.68,24020.59,20437.451250000002
2023-01-24,19005.39,22575.05,21028.779583333333
2023-01-25,17587.66,23306.36,20628.638750000002
2023-01-26,19101.14,24709.96,21507.99625
2023-01-27,18417.2,25640.59,21297.570416666666
2023-01-28,17353.52,20624.27,18947.770416666666
2023-01-29,15558.56,19087.68,17366.364166666666
2023-01-30,16034.53,22002.64,19378.850833333334
2023-01-31,18545.6,23688.52,21388.918333333335
2023-02-01,20030.88,24541.27,22705.502916666668
2023-02-02,20433.9,24203.84,22461.885416666668
2023-02-03,18923.71,24641.27,21483.699583333335
2023-02-04,17797.79,24568.65,20896.681249999998
2023-02-05,16831.94,20561.31,18506.09833333333
2023-02-06,16749.94,21395.33,18272.1525
2023-02-07,15738.43,19092.0,17612.44916666667
2023-02-08,15278.74,19390.33,17614.48375
2023-02-09,15807.56,19368.61,17664.78625
2023-02-10,16792.81,20254.71,18672.724166666667
2023-02-11,17966.66,21892.94,20128.37875
2023-02-12,17093.66,22586.4,19552.147500000003
2023-02-13,17182.22,22739.5,18841.678333333333
2023-02-14,15767.99,18831.65,17555.840833333335
2023-02-15,15059.36,19175.12,17236.005416666667
2023-02-16,15267.95,19986.17,17709.45875
2023-02-17,17622.12,22750.42,20525.946666666667
2023-02-18,17565.0,24143.43,20697.121666666666
2023-02-19,16365.46,20528.68,18037.850833333334
2023-02-20,15258.08,18919.97,17339.327916666665
2023-02-21,15240.49,19475.25,17625.77375
2023-02-22,15198.8,19575.38,17670.687083333334
2023-02-23,15458.04,20507.27,18296.8025
2023-02-24,15853.7,20780.03,18739.05
2023-02-25,15908.55,20083.02,18173.173749999998
2023-02-26,15468.36,19713.65,17712.990833333333
2023-02-27,15609.89,20149.34,18232.605833333335
2023-02-28,15577.63,20608.75,18268.33916666667
2023-03-01,15435.27,20717.04,18366.237916666665
2023-03-02,15651.15,20484.66,18573.46125
2023-03-03,16163.47,18611.44,17644.73875
2023-03-04,14794.52,17003.4,15992.895833333334
2023-03-05,14465.65,18185.08,16355.374583333332
2023-03-06,14230.51,20331.0,17643.800416666665
2023-03-07,15127.95,20574.0,18061.359583333335
2023-03-08,15424.48,21629.95,18713.2325
2023-03-09,15748.5,21698.54,18884.237916666665
2023-03-10,15767.390000000005,18602.77,17618.973333333335
2023-03-11,15369.47,19701.49,17788.59833333333
2023-03-12,15836.76,19274.46,17736.832916666666
2023-03-13,15306.73,18861.38,17474.309166666666
2023-03-14,16645.71,20483.64,18367.703749999997
2023-03-15,16760.920000000002,20809.32,18112.3925
2023-03-16,16088.21,19210.8,17781.158333333333
2023-03-17,15404.34,19284.6,17772.23375
2023-03-18,17654.61,20441.8,18970.251666666667
2023-03-19,18185.65,21963.69,19809.217916666665
2023-03-20,18304.38,25592.4,20881.04125
2023-03-21,16567.4,20945.71,18677.784166666668
2023-03-22,15347.64,19245.65,17566.200416666667
2023-03-23,14834.65,20616.01,18030.08375
2023-03-24,15704.96,19676.07,18075.497916666667
2023-03-25,15551.6,20503.09,17858.053333333333
2023-03-26,15165.52,20006.35,17665.42
2023-03-27,15461.12,20627.21,18233.339583333334
2023-03-28,15499.09,18870.61,17522.14
2023-03-29,14950.91,17974.44,16734.482916666664
2023-03-30,14821.17,18777.94,17097.596250000002
2023-03-31,15152.74,19998.78,17955.02625
2023-04-01,15292.13,20283.97,17604.42916666667
2023-04-02,14669.35,19556.32,17124.991666666665
