Date,min,max,avg
2013-12-11,58169.39,74533.64,67063.4575
2013-12-12,60308.03,73514.17,67731.32875
2013-12-13,57208.32,70600.85,64897.15875
2013-12-14,53601.89,67310.39,60446.14791666667
2013-12-15,53383.71,68705.46,60221.48166666667
2013-12-16,55144.0,71915.76,64807.50375
2013-12-17,54929.58,70977.1,63972.624583333345
2013-12-18,55701.61,70084.88,63492.03375
2013-12-19,69644.51,86882.85,79396.64333333333
2013-12-20,65463.52,84400.87,76755.06416666666
2013-12-21,63485.87,82086.03,73531.52166666667
2013-12-22,63013.84,83195.74,72773.04708333332
2013-12-23,68607.72,91141.44,81659.55958333334
2013-12-24,75791.8,87191.33,80336.41
2013-12-25,68694.87,78144.34,73246.86791666667
2013-12-26,65709.64,84588.07,76645.71125
2013-12-27,68583.78,82258.97,76344.06833333334
2013-12-28,65218.83,79093.8,72050.1375
2013-12-29,64822.04,83383.95,73558.83541666667
2013-12-30,71116.90000000001,91301.29,82701.30541666667
2013-12-31,73183.69,87703.69,80939.96541666666
2014-01-01,70214.03,82493.83,75336.1575
2014-01-02,68501.55,96966.88,84259.12416666668
2014-01-03,81801.87,97703.46,90253.83458333334
2014-01-04,76590.48,85718.48,81446.19833333335
2014-01-05,68242.85,91613.6,79114.61958333333
2014-01-06,83947.48,108637.02,97498.66916666667
2014-01-07,91940.46,104360.64,98137.05041666667
2014-01-08,85810.16,99364.16,92289.12625000002
2014-01-09,79337.01,94219.73,86822.2775
2014-01-10,71558.61,86197.8,80150.10291666667
2014-01-11,63501.1,79164.37,72239.99541666666
2014-01-12,66142.42,78152.42,71267.1925
2014-01-13,63223.18,84246.35,75469.23208333334
2014-01-14,68403.76,87715.5,79711.79458333334
2014-01-15,72808.67,93348.07,84219.76083333333
2014-01-16,76161.76,92057.38,84417.0725
2014-01-17,73664.99,91394.81,84577.53125
2014-01-18,75741.61,86804.49,80872.05791666666
2014-01-19,69154.15,80367.75,73985.34333333334
2014-01-20,67843.53,87240.34,79015.62166666666
2014-01-21,71599.71,97322.1,86258.84458333334
2014-01-22,82132.75,99432.76,90968.43083333333
2014-01-23,81778.86,102781.47,93296.29958333333
2014-01-24,87842.03,103335.91,95364.07625
2014-01-25,78591.53,87809.84,83136.22499999999
2014-01-26,74611.8,84261.19,78150.65458333334
2014-01-27,73781.74,100798.71,88889.18125000001
2014-01-28,86189.44,105319.77,97261.21083333333
2014-01-29,89605.78,104637.48,95501.25666666667
2014-01-30,83416.11,99923.31,90394.25333333334
2014-01-31,76078.40000000001,91198.09,83350.3325
2014-02-01,69867.67,81389.58,75897.09916666667
2014-02-02,66713.79000000001,84749.08,76009.37791666666
2014-02-03,74691.47,95068.76,86504.65583333334
2014-02-04,77471.95,94634.94,87584.30833333333
2014-02-05,76050.04000000001,98081.37,88130.2675
2014-02-06,82751.45,102449.55,94156.97000000002
2014-02-07,87143.83,102343.53,93317.76875
2014-02-08,78806.24,88946.56,83296.88208333333
2014-02-09,71768.09,87303.59,78235.11499999999
2014-02-10,75063.90000000001,97780.7,87933.71708333334
2014-02-11,83024.45,100779.26,92876.61166666668
2014-02-12,83465.13,98760.53,91074.86333333333
2014-02-13,80397.84,96461.22,85828.01375
2014-02-14,75353.77,91440.83,83601.41625
2014-02-15,74016.46,84827.18,79207.13666666667
2014-02-16,70729.77,82967.35,75519.34083333334
2014-02-17,69863.41,87783.4,80464.68458333334
2014-02-18,68247.89,83139.29000000001,76576.77
2014-02-19,64393.13,82580.17,74641.04833333334
2014-02-20,64329.38,83800.17,75779.63500000001
2014-02-21,65820.53,82907.77,76337.76875
2014-02-22,67435.79000000001,76693.63,71929.88166666667
2014-02-23,64693.65,81390.53,71931.74416666666
2014-02-24,69234.64,88364.3,80235.58875
2014-02-25,70751.34,90283.26,81685.83583333333
2014-02-26,76093.11,95923.17,87104.88916666668
2014-02-27,81206.97,96907.54,88249.04375
2014-02-28,76957.98,94890.28,85192.89
2014-03-01,68520.39,81469.5,75132.17458333333
2014-03-02,68558.19,88288.52,77614.34250000001
2014-03-03,76966.44,96933.14,88441.13958333332
2014-03-04,81143.18000000001,93650.27,88080.69958333333
2014-03-05,77063.46,91021.95,84656.21166666667
2014-03-06,74357.62,88961.84,82399.78416666666
2014-03-07,72964.59,87256.66,78306.26
2014-03-08,66315.17,76360.47,71724.74333333333
2014-03-09,64694.66,75876.40000000001,69411.88958333334
2014-03-10,63299.81000000001,80742.95,72950.50041666668
2014-03-11,60847.53,78212.08,71877.35
2014-03-12,62256.6,83636.83,75659.45375
2014-03-13,69402.97,88339.46,77537.4075
2014-03-14,65558.1,81850.09,72970.65416666667
2014-03-15,61653.59,72626.38,67611.52125
2014-03-16,61130.75,80131.27,70817.29
2014-03-17,68990.46,87619.27,79463.61833333333
