Date,min,max,avg
2013-12-12,61020.0,72821.0,67652.83333333333
2013-12-13,58485.0,70286.0,65223.458333333336
2013-12-14,54568.0,66916.0,60633.208333333336
2013-12-15,54519.0,69190.0,60731.666666666664
2013-12-16,56910.0,71938.0,65448.583333333336
2013-12-17,56342.0,70937.0,64320.958333333336
2013-12-18,56610.0,69865.0,63960.666666666664
2013-12-19,70280.0,87479.0,79990.83333333333
2013-12-20,68133.0,85330.0,77543.25
2013-12-21,65524.0,81080.0,73572.25
2013-12-22,64016.0,82647.0,72813.625
2013-12-23,71093.0,94155.0,83657.66666666667
2013-12-24,75745.0,86327.0,81361.04166666667
2013-12-25,71209.0,83011.0,76707.125
2013-12-26,68513.0,85091.0,76809.83333333333
2013-12-27,70551.0,83419.0,77465.75
2013-12-28,65239.0,76762.0,70856.125
2013-12-29,63926.0,82867.0,72608.66666666667
2013-12-30,71766.0,90472.0,82212.20833333333
2013-12-31,73952.0,88338.0,81494.70833333333
2014-01-01,71857.0,85692.0,77850.83333333333
2014-01-02,70657.0,94040.0,82885.58333333333
2014-01-03,81565.0,97538.0,88841.58333333333
2014-01-04,77737.0,85176.0,81066.83333333333
2014-01-05,71201.0,92538.0,80662.16666666667
2014-01-06,82167.0,107770.0,97037.25
2014-01-07,92099.0,106681.0,98223.125
2014-01-08,86727.0,100380.0,93854.33333333333
2014-01-09,81889.0,95811.0,88982.25
2014-01-10,74096.0,86957.0,81104.20833333333
2014-01-11,66359.0,81065.0,73862.83333333333
2014-01-12,66919.0,78476.0,71806.20833333333
2014-01-13,64179.0,85061.0,75708.75
2014-01-14,69034.0,87748.0,79764.66666666667
2014-01-15,72589.0,92449.0,83562.75
2014-01-16,76051.0,91493.0,83429.29166666667
2014-01-17,75427.0,92388.0,85369.95833333333
2014-01-18,75670.0,85064.0,79847.375
2014-01-19,71046.0,82708.0,76077.91666666667
2014-01-20,69638.0,89029.0,80863.08333333333
2014-01-21,72019.0,95828.0,85133.91666666667
2014-01-22,81275.0,97188.0,88958.875
2014-01-23,83312.0,101651.0,93536.125
2014-01-24,84566.0,101444.0,92503.79166666667
2014-01-25,81601.0,90919.0,85787.95833333333
2014-01-26,75912.0,85000.0,79420.54166666667
2014-01-27,74139.0,101448.0,89615.58333333333
2014-01-28,85626.0,102782.0,95123.75
2014-01-29,89105.0,103767.0,95010.20833333333
2014-01-30,84373.0,100810.0,91618.5
2014-01-31,79102.0,94375.0,86412.83333333333
2014-02-01,70074.0,79625.0,75071.45833333333
2014-02-02,68112.0,83358.0,74897.66666666667
2014-02-03,74471.0,91677.0,84633.625
2014-02-04,77191.0,92108.0,85719.29166666667
2014-02-05,77694.0,97567.0,89082.25
2014-02-06,83635.0,100158.0,93195.70833333333
2014-02-07,87398.0,103258.0,93306.5
2014-02-08,78924.0,87809.0,83032.66666666667
2014-02-09,73455.0,85172.0,78443.04166666667
2014-02-10,74683.0,96944.0,87783.45833333333
2014-02-11,83098.0,99243.0,92251.79166666667
2014-02-12,84743.0,98932.0,91742.75
2014-02-13,81639.0,97166.0,87972.83333333333
2014-02-14,75791.0,90638.0,83353.58333333333
2014-02-15,75043.0,84579.0,79575.875
2014-02-16,69507.0,80921.0,74393.29166666667
2014-02-17,69905.0,87128.0,80092.66666666667
2014-02-18,70969.0,85418.0,78931.04166666667
2014-02-19,67208.0,83528.0,75968.125
2014-02-20,65734.0,82820.0,75326.25
2014-02-21,68315.0,83536.0,77105.5
2014-02-22,67229.0,76764.0,72155.20833333333
2014-02-23,66898.0,80518.0,72835.375
2014-02-24,69173.0,88323.0,80413.16666666667
2014-02-25,72139.0,89945.0,81880.83333333333
2014-02-26,74914.0,94706.0,85873.66666666667
2014-02-27,81253.0,96374.0,88827.54166666667
2014-02-28,78439.0,94589.0,85006.875
2014-03-01,72275.0,81975.0,76834.375
2014-03-02,68504.0,86478.0,76086.625
2014-03-03,77664.0,96922.0,88900.95833333333
2014-03-04,83128.0,95287.0,88814.5
2014-03-05,79823.0,92559.0,85550.83333333333
2014-03-06,75619.0,89148.0,82594.66666666667
2014-03-07,73237.0,87402.0,78709.83333333333
2014-03-08,67415.0,76199.0,71884.58333333333
2014-03-09,64234.0,74912.0,69065.625
2014-03-10,64112.0,80152.0,73381.20833333333
2014-03-11,63613.0,78614.0,73396.58333333333
2014-03-12,62758.0,84134.0,76479.70833333333
2014-03-13,69197.0,86311.0,76788.79166666667
2014-03-14,66396.0,80970.0,73226.875
2014-03-15,62292.0,72843.0,68161.54166666667
2014-03-16,61959.0,78669.0,70113.91666666667
2014-03-17,70094.0,89448.0,79801.29166666667
2014-03-18,69646.0,85366.0,76986.75
2014-03-19,65325.0,80347.0,74964.0
2014-03-20,65799.0,81671.0,73853.45833333333
2014-03-21,63539.0,78538.0,71366.0
2014-03-22,60809.0,73885.0,68051.29166666667
2014-03-23,63231.0,77234.0,69167.04166666667
2014-03-24,68361.0,85702.0,77969.375
2014-03-25,68541.0,84789.0,78204.58333333333
2014-03-26,70970.0,87814.0,78084.20833333333
2014-03-27,67020.0,81693.0,75681.375
2014-03-28,65519.0,79749.0,74056.58333333333
2014-03-29,62182.0,71650.0,67429.625
2014-03-30,60947.0,70875.0,65826.125
2014-03-31,60693.0,77551.0,71377.625
2014-04-01,61224.0,77621.0,71787.45833333333
2014-04-02,62432.0,78350.0,72825.41666666667
2014-04-03,60868.0,79404.0,73522.54166666667
2014-04-04,63705.0,78569.0,73043.08333333333
2014-04-05,61157.0,71238.0,66406.20833333333
2014-04-06,57993.0,69973.0,63083.208333333336
2014-04-07,60690.0,77991.0,72216.875
2014-04-08,60914.0,76339.0,70776.125
2014-04-09,61657.0,76830.0,70498.70833333333
2014-04-10,60147.0,74695.0,69701.29166666667
2014-04-11,59262.0,72682.0,67856.91666666667
2014-04-12,57321.0,69234.0,64039.708333333336
2014-04-13,55797.0,71004.0,63204.208333333336
2014-04-14,59776.0,79133.0,72533.75
2014-04-15,64714.0,80742.0,73563.125
2014-04-16,65965.0,82111.0,73517.16666666667
2014-04-17,63795.0,78328.0,72043.95833333333
2014-04-18,59182.0,70831.0,66221.875
2014-04-19,55910.0,66420.0,61280.083333333336
2014-04-20,53336.0,67515.0,59966.958333333336
2014-04-21,54910.0,75210.0,68275.375
2014-04-22,57552.0,76611.0,69876.91666666667
2014-04-23,58871.0,76481.0,70179.83333333333
2014-04-24,58919.0,76982.0,70768.29166666667
2014-04-25,58643.0,75031.0,69568.41666666667
2014-04-26,56858.0,71875.0,65715.625
2014-04-27,55167.0,72685.0,63864.625
2014-04-28,58867.0,80439.0,72987.375
2014-04-29,59608.0,77883.0,71729.58333333333
2014-04-30,59026.0,75603.0,70094.79166666667
2014-05-01,58791.0,75039.0,69892.41666666667
2014-05-02,58446.0,74002.0,68416.375
2014-05-03,55595.0,68475.0,62999.916666666664
2014-05-04,53794.0,71550.0,62511.833333333336
2014-05-05,56757.0,79207.0,71315.79166666667
2014-05-06,60146.0,79876.0,72351.25
2014-05-07,60143.0,83392.0,74133.20833333333
2014-05-08,61238.0,86360.0,76323.75
2014-05-09,63131.0,80231.0,73186.29166666667
2014-05-10,57474.0,71496.0,65715.29166666667
2014-05-11,56216.0,75907.0,66554.875
2014-05-12,61047.0,88183.0,77449.95833333333
2014-05-13,63807.0,83468.0,75547.25
2014-05-14,59836.0,75263.0,69960.0
2014-05-15,58882.0,73933.0,69035.66666666667
2014-05-16,58902.0,73576.0,68465.54166666667
2014-05-17,58254.0,67869.0,63581.5
2014-05-18,56169.0,70578.0,62849.875
2014-05-19,57540.0,80213.0,72015.83333333333
2014-05-20,60100.0,85896.0,75233.25
2014-05-21,62901.0,88508.0,77784.54166666667
2014-05-22,63113.0,86872.0,76782.58333333333
2014-05-23,62154.0,83974.0,74819.04166666667
2014-05-24,59418.0,77056.0,68984.25
2014-05-25,54589.0,77543.0,67043.95833333333
2014-05-26,56780.0,85156.0,72092.20833333333
2014-05-27,63297.0,95375.0,81820.20833333333
2014-05-28,64671.0,89423.0,79300.875
2014-05-29,62640.0,87368.0,77437.75
2014-05-30,63388.0,90631.0,79135.79166666667
2014-05-31,61597.0,85371.0,74647.66666666667
2014-06-01,60839.0,90007.0,76517.0
2014-06-02,66044.0,98266.0,84417.25
2014-06-03,66396.0,98105.0,84057.04166666667
2014-06-04,66652.0,95041.0,82335.16666666667
2014-06-05,63929.0,91917.0,79958.29166666667
2014-06-06,64223.0,93566.0,80359.625
2014-06-07,63145.0,86779.0,75612.08333333333
2014-06-08,59675.0,81201.0,71389.41666666667
2014-06-09,61393.0,89182.0,77609.41666666667
2014-06-10,64020.0,87372.0,77698.54166666667
2014-06-11,62780.0,90568.0,78556.79166666667
2014-06-12,64020.0,91977.0,79870.91666666667
2014-06-13,63905.0,85649.0,76436.08333333333
2014-06-14,59581.0,79598.0,70466.0
2014-06-15,57718.0,85577.0,72721.08333333333
2014-06-16,63590.0,101891.0,85730.58333333333
2014-06-17,71690.0,112755.0,94440.41666666667
2014-06-18,74025.0,112507.0,94899.41666666667
2014-06-19,71435.0,105899.0,90269.75
2014-06-20,67685.0,102275.0,86715.875
2014-06-21,66460.0,97495.0,82579.70833333333
2014-06-22,63185.0,92945.0,79123.66666666667
2014-06-23,67337.0,104084.0,87930.08333333333
2014-06-24,69642.0,100914.0,87033.375
2014-06-25,67758.0,98790.0,84976.875
2014-06-26,66940.0,98565.0,84478.375
2014-06-27,68868.0,101610.0,86797.25
2014-06-28,67121.0,95086.0,82049.91666666667
2014-06-29,65771.0,97312.0,82399.91666666667
2014-06-30,70815.0,111566.0,93324.5
2014-07-01,73054.0,105930.0,90673.16666666667
2014-07-02,68985.0,95602.0,83592.75
2014-07-03,63950.0,89374.0,77675.58333333333
2014-07-04,58967.0,81006.0,69929.91666666667
2014-07-05,53384.0,83470.0,68959.625
2014-07-06,60163.0,95643.0,78332.875
2014-07-07,67556.0,107924.0,89661.875
2014-07-08,71985.0,103174.0,88943.5
2014-07-09,67671.0,97445.0,83838.16666666667
2014-07-10,66290.0,98372.0,83758.16666666667
2014-07-11,67207.0,101343.0,85543.70833333333
2014-07-12,67663.0,100337.0,84623.79166666667
2014-07-13,66631.0,96900.0,82226.91666666667
2014-07-14,67775.0,99427.0,85006.91666666667
2014-07-15,67156.0,88791.0,79487.79166666667
2014-07-16,62098.0,86247.0,75630.875
2014-07-17,62449.0,90894.0,78589.66666666667
2014-07-18,63436.0,88959.0,77756.625
2014-07-19,61483.0,86902.0,74716.125
2014-07-20,60319.0,92832.0,77187.875
2014-07-21,66635.0,109917.0,90369.70833333333
2014-07-22,73230.0,117683.0,97317.375
2014-07-23,73875.0,101809.0,88681.41666666667
2014-07-24,66877.0,96595.0,82950.45833333333
2014-07-25,66244.0,97423.0,83033.375
2014-07-26,66221.0,99986.0,83671.41666666667
2014-07-27,66684.0,95294.0,81564.875
2014-07-28,66961.0,94954.0,82518.54166666667
2014-07-29,65750.0,93832.0,81172.0
2014-07-30,64820.0,94009.0,80618.41666666667
2014-07-31,64770.0,95716.0,81802.79166666667
2014-08-01,66293.0,96468.0,82390.29166666667
2014-08-02,63388.0,91721.0,77729.83333333333
2014-08-03,61187.0,94918.0,78011.79166666667
2014-08-04,67239.0,105250.0,87702.54166666667
2014-08-05,69331.0,104938.0,88304.41666666667
2014-08-06,68710.0,101841.0,86610.375
2014-08-07,69600.0,102034.0,86998.41666666667
2014-08-08,68702.0,99948.0,85170.83333333333
2014-08-09,66418.0,94176.0,80349.125
2014-08-10,64052.0,95522.0,80073.83333333333
2014-08-11,68269.0,102002.0,86778.625
2014-08-12,67753.0,94607.0,82489.54166666667
2014-08-13,64893.0,98246.0,82766.79166666667
2014-08-14,65162.0,96815.0,81912.5
2014-08-15,65202.0,97510.0,82334.5
2014-08-16,64253.0,92504.0,78659.875
2014-08-17,63725.0,91930.0,78098.33333333333
2014-08-18,67400.0,104601.0,87797.04166666667
2014-08-19,70561.0,107403.0,90465.875
2014-08-20,70817.0,110949.0,92226.08333333333
2014-08-21,71891.0,112033.0,93551.125
2014-08-22,74245.0,112787.0,94532.5
2014-08-23,71194.0,104597.0,88147.20833333333
2014-08-24,69163.0,106500.0,88104.45833333333
2014-08-25,73535.0,116564.0,96827.0
2014-08-26,73179.0,110087.0,93325.29166666667
2014-08-27,71741.0,105590.0,89708.41666666667
2014-08-28,70065.0,101364.0,87055.91666666667
2014-08-29,69583.0,101760.0,87005.95833333333
2014-08-30,66743.0,89489.0,78724.66666666667
2014-08-31,61792.0,89266.0,75565.41666666667
2014-09-01,65811.0,93524.0,80059.70833333333
2014-09-02,67129.0,100987.0,85215.54166666667
2014-09-03,66435.0,103031.0,86778.41666666667
2014-09-04,69391.0,110837.0,92407.33333333333
2014-09-05,72433.0,104105.0,89006.125
2014-09-06,64835.0,83191.0,74525.95833333333
2014-09-07,57729.0,80822.0,69794.58333333333
2014-09-08,60553.0,92849.0,78824.54166666667
2014-09-09,64404.0,98702.0,83620.75
2014-09-10,66594.0,95301.0,82922.75
2014-09-11,65604.0,87976.0,78795.875
2014-09-12,60423.0,81296.0,72956.83333333333
2014-09-13,57288.0,70425.0,65399.708333333336
2014-09-14,54028.0,73731.0,64216.375
2014-09-15,58040.0,82583.0,73200.66666666667
2014-09-16,59813.0,83257.0,74313.66666666667
2014-09-17,59704.0,84428.0,75081.58333333333
2014-09-18,60389.0,84352.0,75288.25
2014-09-19,59713.0,83547.0,74306.75
2014-09-20,59057.0,82707.0,71672.45833333333
2014-09-21,57366.0,77553.0,68305.91666666667
2014-09-22,58766.0,83911.0,74428.04166666667
2014-09-23,58859.0,82195.0,73322.66666666667
2014-09-24,58323.0,83968.0,73651.875
2014-09-25,59113.0,85435.0,74888.54166666667
2014-09-26,59481.0,85611.0,74675.75
2014-09-27,58299.0,79495.0,69721.41666666667
2014-09-28,56478.0,79777.0,68777.08333333333
2014-09-29,59099.0,88664.0,76519.04166666667
2014-09-30,60805.0,86064.0,76077.41666666667
2014-10-01,60675.0,86076.0,76283.25
2014-10-02,61888.0,87560.0,77693.75
2014-10-03,62729.0,80970.0,74003.83333333333
2014-10-04,57296.0,71018.0,65016.0
2014-10-05,55339.0,72311.0,63238.583333333336
2014-10-06,55988.0,80075.0,70837.66666666667
2014-10-07,58360.0,81412.0,72598.45833333333
2014-10-08,59526.0,81661.0,73323.79166666667
2014-10-09,60018.0,81802.0,73576.83333333333
2014-10-10,60605.0,79809.0,72838.41666666667
2014-10-11,58248.0,72642.0,66733.33333333333
2014-10-12,55144.0,74201.0,64361.625
2014-10-13,56979.0,80944.0,71846.95833333333
2014-10-14,58683.0,77948.0,70804.66666666667
2014-10-15,57017.0,77437.0,69947.45833333333
2014-10-16,57704.0,78124.0,70313.5
2014-10-17,57750.0,76178.0,69690.83333333333
2014-10-18,56316.0,71620.0,65016.958333333336
2014-10-19,55942.0,72753.0,63919.625
2014-10-20,56842.0,79142.0,70780.45833333333
2014-10-21,59051.0,79693.0,71766.125
2014-10-22,59944.0,79092.0,71801.79166666667
2014-10-23,60510.0,78359.0,71511.66666666667
2014-10-24,60157.0,75381.0,70240.08333333333
2014-10-25,57216.0,71219.0,64925.875
2014-10-26,55387.0,74072.0,63852.5
2014-10-27,57877.0,82193.0,72356.375
2014-10-28,60904.0,79094.0,72183.45833333333
2014-10-29,60743.0,79665.0,72425.29166666667
2014-10-30,62381.0,78641.0,72443.125
2014-10-31,61021.0,77552.0,71342.58333333333
2014-11-01,62731.0,74094.0,69233.75
2014-11-02,60522.0,72892.0,65451.791666666664
2014-11-03,62444.0,80597.0,73063.54166666667
2014-11-04,61178.0,80563.0,72172.83333333333
2014-11-05,61758.0,80959.0,72760.16666666667
2014-11-06,62247.0,81793.0,73213.125
2014-11-07,65413.0,79937.0,74003.29166666667
2014-11-08,62634.0,74006.0,68356.33333333333
2014-11-09,60310.0,74998.0,66894.5
2014-11-10,61338.0,81003.0,72718.20833333333
2014-11-11,62863.0,84909.0,75007.83333333333
2014-11-12,67817.0,86580.0,78243.79166666667
2014-11-13,72467.0,91083.0,82914.875
2014-11-14,76283.0,91998.0,84375.0
2014-11-15,73997.0,82036.0,77644.20833333333
2014-11-16,68555.0,83422.0,74823.04166666667
2014-11-17,69999.0,95915.0,85029.04166666667
2014-11-18,79753.0,96125.0,88857.375
2014-11-19,80936.0,93902.0,87051.25
2014-11-20,77345.0,93059.0,86119.875
2014-11-21,73734.0,87685.0,80536.41666666667
2014-11-22,66390.0,77216.0,71701.91666666667
2014-11-23,60141.0,76731.0,67842.95833333333
2014-11-24,61474.0,87462.0,76486.5
2014-11-25,69308.0,87889.0,79824.45833333333
2014-11-26,71496.0,86477.0,79799.5
2014-11-27,67521.0,78531.0,72253.375
