Date,min,max,avg
2009-07-06,44574.54,74771.40000000001,62493.192500000005
2009-07-07,47820.94,74699.73,63508.23416666667
2009-07-08,48002.8,72114.24,62295.66125
2009-07-09,47767.93,75931.06,64392.90333333333
2009-07-10,50172.42,78635.96,66701.58458333333
2009-07-11,50044.43,69512.94,60695.57958333334
2009-07-12,44361.62,64510.36,55857.83416666667
2009-07-13,46697.89,75915.47,63736.003333333334
2009-07-14,47916.92,73416.68000000001,63360.878749999996
2009-07-15,50173.94,78009.44,66504.44833333333
2009-07-16,51441.98,78720.79000000001,67111.03083333334
2009-07-17,49224.81,67767.15,59317.36250000001
2009-07-18,43408.01,55284.96,50649.25708333333
2009-07-19,41470.11,57295.87,50510.987916666665
2009-07-20,44657.67,71390.3,61085.482500000006
2009-07-21,48183.93,72619.44,62436.05416666667
2009-07-22,48607.21,70105.04000000001,61832.44625
2009-07-23,48637.85,73665.81,63571.50875
2009-07-24,48845.84,76257.39,64539.019166666665
2009-07-25,48392.12,65746.19,58059.534999999996
2009-07-26,44491.02,66801.47,56625.86791666667
2009-07-27,48351.32,81121.65000000001,67602.12041666667
2009-07-28,51805.19,82382.12,68803.07166666667
2009-07-29,51297.91,75716.64,65723.07666666668
2009-07-30,49414.83,74854.28,64355.62666666667
2009-07-31,49452.96,74673.46,63741.056666666664
2009-08-01,45421.34,62250.65,55410.28375
2009-08-02,44065.1,63726.54,54445.80708333334
2009-08-03,46723.59,79012.14,65933.11791666667
2009-08-04,53333.19,79304.08,68433.63291666667
2009-08-05,50104.43,77279.43000000001,65668.23416666668
2009-08-06,49330.33,76190.75,64957.78041666667
2009-08-07,49085.31,73214.52,62985.20166666667
2009-08-08,47986.98,74607.55,62736.712083333325
2009-08-09,51854.61,84972.59,69559.32958333332
2009-08-10,56009.74,90363.04,75311.72916666667
2009-08-11,54713.68,86304.5,72553.03041666666
2009-08-12,52155.49,84810.31,70499.055
2009-08-13,52308.75,85682.79,71152.02833333334
2009-08-14,52920.95,88383.73,72261.30291666667
2009-08-15,51214.12,80688.03,66953.53583333333
2009-08-16,50673.78,80357.96,66703.51791666666
2009-08-17,54469.11,87177.08,73069.02708333333
2009-08-18,53997.14,84298.48,71239.24041666667
2009-08-19,52877.66,83349.41,70218.67708333333
2009-08-20,53164.15,79177.18000000001,68359.87208333334
2009-08-21,50488.68,72974.26,63032.65
2009-08-22,45294.75,57822.47,52897.3725
2009-08-23,42388.12,60174.11,51467.68833333333
2009-08-24,45320.81,73356.83,62502.03958333333
2009-08-25,48856.07,78415.02,66061.62541666666
2009-08-26,50692.22,77206.63,66480.96291666667
2009-08-27,50574.59,75931.01,65736.60583333333
2009-08-28,50086.01,70767.64,62023.40541666667
2009-08-29,45746.01,59542.11,53758.50166666667
2009-08-30,41548.96,56408.98,49124.08041666667
2009-08-31,43496.96,64829.1,57068.520833333336
2009-09-01,47425.7,68623.99,60741.75625
2009-09-02,47935.63,70538.37,62154.75
2009-09-03,48794.52,72926.73,63566.392916666664
2009-09-04,49043.43,72327.06,62586.25750000001
2009-09-05,46274.18,63187.66,55825.44708333333
2009-09-06,44845.32,61263.66,53991.55708333334
2009-09-07,44851.99,66328.33,56380.21708333333
2009-09-08,48241.77,76168.16,65728.07375
2009-09-09,50740.41,78547.78,67531.48916666667
2009-09-10,51873.88,79883.45,68446.63666666667
2009-09-11,51563.83,77506.44,66471.65041666667
2009-09-12,48069.1,67621.98,58886.42250000001
2009-09-13,45419.46,68274.89,57088.00750000001
2009-09-14,48572.92,79613.17,67099.89875000001
2009-09-15,51591.16,79496.51,68070.90125
2009-09-16,51253.72,74962.89,65535.84333333333
2009-09-17,49364.73,73244.34,64011.32166666666
2009-09-18,49196.49,71950.51,62858.53833333334
2009-09-19,46578.03,62940.79,55953.56041666665
2009-09-20,44650.81,64220.17,54079.29416666667
2009-09-21,48732.78,74745.51,65472.38125
2009-09-22,51710.05,76534.45,67395.38041666667
2009-09-23,52311.38,76304.03,67467.0925
2009-09-24,52118.7,72728.73,65212.368749999994
2009-09-25,50325.24,69257.48,61908.36541666667
2009-09-26,46382.26,60925.47,54874.526249999995
2009-09-27,44016.8,62458.06,52853.18625
2009-09-28,46422.39,66148.78,59251.54125
2009-09-29,47073.26,66167.46,59360.368333333325
2009-09-30,47673.12,66271.52,59606.355833333335
2009-10-01,48208.87,66884.0,60106.07125
2009-10-02,48082.26,65476.05,58729.90875
2009-10-03,45340.21,58269.36,52660.424999999996
2009-10-04,43772.41,59859.98,51269.26666666667
2009-10-05,46056.16,66580.57,59439.91708333334
2009-10-06,48142.18,67150.59,60712.96708333333
2009-10-07,48183.46,66689.4,59977.00958333333
2009-10-08,48792.35,67353.48,60887.3075
2009-10-09,48813.29,66468.45,59994.024583333325
2009-10-10,47544.17,60016.93,54554.58083333333
2009-10-11,46944.92,61838.29,53658.25708333333
2009-10-12,48727.81,68445.53,61744.686250000006
2009-10-13,50097.06,68750.0,61868.044583333336
2009-10-14,50946.97,69475.75,62954.95416666667
2009-10-15,51231.16,69459.14,63184.54
2009-10-16,51708.55,68230.03,61905.61166666667
2009-10-17,49735.68,61695.61,56363.775416666664
2009-10-18,48890.79,61955.73,54564.39916666667
2009-10-19,49404.08,67715.57,61294.41625
2009-10-20,49491.94,67375.1,61126.54625000001
2009-10-21,49060.48,67567.61,61076.877083333326
2009-10-22,49094.78,68354.76,61428.62333333333
2009-10-23,49708.24,67592.8,60922.36708333334
2009-10-24,47783.67,60536.75,55199.5
2009-10-25,46661.18,61315.31,53392.599583333336
2009-10-26,47826.9,68094.28,61019.42166666667
2009-10-27,49739.4,68751.24,61852.19625
2009-10-28,49816.05,68277.27,61637.105833333335
2009-10-29,49712.41,68547.55,61720.332916666666
2009-10-30,49133.5,66827.23,60355.08958333333
2009-10-31,46960.36,59825.21,54759.552083333336
2009-11-01,47687.36,62411.43,54187.769166666665
2009-11-02,49287.62,70023.71,61799.871666666666
2009-11-03,51513.06,70854.33,63021.10958333333
2009-11-04,52354.26,70927.52,63524.826250000006
2009-11-05,52667.05,70348.25,63335.02375
2009-11-06,52684.38,67818.5,62079.785
2009-11-07,48388.33,61774.84,55137.80625
2009-11-08,45500.87,62757.45,53225.47083333333
2009-11-09,47413.92,70451.94,60986.746250000004
2009-11-10,49844.29,70838.21,62347.33958333334
2009-11-11,51628.31,70866.67,62992.50208333333
2009-11-12,53281.95,71518.16,64169.53083333333
2009-11-13,52693.48,68171.86,62399.060000000005
2009-11-14,49222.42,62595.56,56026.121250000004
2009-11-15,46605.14,64236.08,54561.95249999999
2009-11-16,49395.44,71901.16,62683.064583333326
2009-11-17,52393.1,72338.5,64210.76666666666
2009-11-18,52257.06,72466.61,64192.00041666667
2009-11-19,52112.48,72100.65000000001,64146.33208333334
2009-11-20,52750.08,68907.47,62817.65083333334
2009-11-21,50777.31,63731.96,57268.680833333325
2009-11-22,48188.86,64505.75,55424.301666666666
2009-11-23,49889.52,71769.6,62883.295000000006
2009-11-24,50993.62,71714.51,63311.256250000006
2009-11-25,51000.18,70385.83,62880.47875000001
2009-11-26,48346.72,60827.15,54607.22083333333
2009-11-27,48909.99,64906.95,57004.10916666667
2009-11-28,49768.78,63146.2,55988.525
2009-11-29,47695.93,66805.94,56249.98750000001
2009-11-30,50905.47,75781.12,65378.16916666667
2009-12-01,55205.39,74666.67,66241.44041666666
2009-12-02,54935.56,77406.09,67672.08458333333
2009-12-03,55703.38,78784.47,69145.04666666666
2009-12-04,58879.19,78484.1,70221.36375
2009-12-05,58951.43,73243.49,65837.70708333333
2009-12-06,56926.65,74240.34,64163.54
2009-12-07,57123.53,81249.65000000001,70934.15000000001
2009-12-08,59006.9,81252.2,71582.93250000001
2009-12-09,57843.27,84886.38,72542.46083333333
2009-12-10,64890.5,86728.41,77202.97958333333
2009-12-11,66193.41,80964.46,74592.77750000001
2009-12-12,61032.51,73373.34,66798.21583333334
2009-12-13,54795.37,73424.78,63107.160833333335
2009-12-14,55808.27,78945.61,69277.28958333333
2009-12-15,59383.08,84179.88,73513.02208333333
2009-12-16,65085.57,82573.18000000001,74982.49541666667
2009-12-17,62483.26,80064.19,72575.13875
2009-12-18,59181.09,77422.61,69867.27375
2009-12-19,56385.52,74190.2,65518.46708333333
2009-12-20,55862.86,74624.29000000001,64438.074166666665
2009-12-21,57615.2,80387.29000000001,70673.43708333334
2009-12-22,58776.07,79143.05,70337.25833333335
2009-12-23,57453.56,76328.57,68313.33375
2009-12-24,52999.07,66329.17,60817.27166666667
2009-12-25,49592.98,64177.71,57704.080416666664
2009-12-26,52066.52,70292.99,60997.229166666664
2009-12-27,54167.76,72637.1,62372.43125
2009-12-28,57747.59,79103.1,69349.63541666667
2009-12-29,60440.81,78065.81,69982.99583333333
2009-12-30,60153.15,76254.95,68750.71875
2009-12-31,55323.84,73430.25,64565.55249999999
2010-01-01,58203.55,74065.73,65112.54
2010-01-02,61502.98,78269.83,69364.66916666667
2010-01-03,64099.17,79759.45,70420.92875
2010-01-04,64753.72,85157.73,76545.3975
2010-01-05,66863.83,84297.79,77088.37875
