Date,min,max,avg
2013-12-11,16999.0,21865.0,19782.375
2013-12-12,17044.0,20729.0,19167.458333333332
2013-12-13,16292.0,20467.0,18755.791666666668
2013-12-14,15729.0,19323.0,17562.75
2013-12-15,15717.0,19894.0,17532.916666666668
2013-12-16,16188.0,20631.0,18751.75
2013-12-17,15873.0,20532.0,18496.041666666668
2013-12-18,15837.0,19936.0,18196.916666666668
2013-12-19,15295.0,20597.0,18294.125
2013-12-20,15851.0,20251.0,18390.416666666668
2013-12-21,15709.0,19086.0,17483.208333333332
2013-12-22,15047.0,19455.0,17037.541666666668
2013-12-23,16210.0,21491.0,19229.208333333332
2013-12-24,16855.0,19285.0,18271.208333333332
2013-12-25,15381.0,18359.0,17097.0
2013-12-26,14788.0,19058.0,17104.166666666668
2013-12-27,15032.0,18828.0,17217.416666666668
2013-12-28,13805.0,17777.0,15825.708333333334
2013-12-29,14365.0,19583.0,16710.833333333332
2013-12-30,16438.0,20925.0,19003.375
2013-12-31,16708.0,20817.0,19001.291666666668
2014-01-01,16586.0,20349.0,18340.958333333332
2014-01-02,16656.0,20771.0,18971.916666666668
2014-01-03,17442.0,21114.0,19374.166666666668
2014-01-04,15580.0,19992.0,17843.708333333332
2014-01-05,16486.0,21073.0,18513.0
2014-01-06,18324.0,22791.0,21004.083333333332
2014-01-07,18351.0,22095.0,20493.708333333332
2014-01-08,17931.0,21736.0,20116.0
2014-01-09,17345.0,21067.0,19470.416666666668
2014-01-10,15718.0,19572.0,18074.25
2014-01-11,14710.0,18514.0,16688.0
2014-01-12,14013.0,17771.0,15724.958333333334
2014-01-13,13951.0,19354.0,17023.75
2014-01-14,14770.0,20070.0,17804.291666666668
2014-01-15,16088.0,20287.0,18548.208333333332
2014-01-16,15318.0,20309.0,18267.125
2014-01-17,16438.0,20387.0,18670.416666666668
2014-01-18,15600.0,18714.0,17146.916666666668
2014-01-19,14669.0,18093.0,16141.416666666666
2014-01-20,14532.0,20521.0,18028.083333333332
2014-01-21,16960.0,20938.0,19227.791666666668
2014-01-22,16838.0,21857.0,19711.291666666668
2014-01-23,18086.0,22154.0,20222.958333333332
2014-01-24,17240.0,20491.0,18937.208333333332
2014-01-25,15656.0,19600.0,17625.416666666668
2014-01-26,15258.0,19625.0,17266.708333333332
2014-01-27,17105.0,22010.0,20011.541666666668
2014-01-28,18385.0,21826.0,20274.083333333332
2014-01-29,17723.0,21178.0,19530.666666666668
2014-01-30,16389.0,20846.0,19077.458333333332
2014-01-31,17038.0,20749.0,19125.333333333332
2014-02-01,16057.0,18756.0,17439.666666666668
2014-02-02,15904.0,19016.0,17145.625
2014-02-03,16429.0,20468.0,18808.541666666668
2014-02-04,16731.0,20675.0,19134.25
2014-02-05,17016.0,21457.0,19584.041666666668
2014-02-06,17534.0,21389.0,19806.125
2014-02-07,17624.0,21219.0,19366.666666666668
2014-02-08,16674.0,18799.0,17793.666666666668
2014-02-09,15991.0,19563.0,17529.583333333332
2014-02-10,17199.0,21388.0,19660.458333333332
2014-02-11,17756.0,21386.0,19640.333333333332
2014-02-12,16989.0,20755.0,19175.583333333332
2014-02-13,16046.0,19973.0,18379.458333333332
2014-02-14,16355.0,19881.0,18330.916666666668
2014-02-15,16166.0,18384.0,17298.458333333332
2014-02-16,15297.0,18558.0,16726.125
2014-02-17,15371.0,19472.0,17800.958333333332
2014-02-18,15503.0,19158.0,17624.541666666668
2014-02-19,14832.0,18765.0,17138.583333333332
2014-02-20,14372.0,18994.0,17136.375
2014-02-21,15617.0,19448.0,17879.0
2014-02-22,15539.0,18345.0,16968.833333333332
2014-02-23,15937.0,18754.0,17112.958333333332
2014-02-24,16123.0,20280.0,18594.375
2014-02-25,16553.0,20884.0,19042.083333333332
2014-02-26,17298.0,21072.0,19372.625
2014-02-27,17452.0,21300.0,19754.458333333332
2014-02-28,17245.0,20600.0,18928.5
2014-03-01,16366.0,19295.0,17940.375
2014-03-02,16747.0,20135.0,17975.5
2014-03-03,17581.0,21502.0,19851.458333333332
2014-03-04,16799.0,20150.0,18857.458333333332
2014-03-05,15893.0,19532.0,18109.583333333332
2014-03-06,15894.0,19404.0,17949.416666666668
2014-03-07,15022.0,18419.0,17132.333333333332
2014-03-08,14858.0,17199.0,16041.958333333334
2014-03-09,14420.0,16680.0,15354.916666666666
2014-03-10,13678.0,17822.0,16268.291666666666
2014-03-11,13700.0,17832.0,16441.208333333332
2014-03-12,14343.0,18530.0,16979.125
2014-03-13,14809.0,18594.0,16647.458333333332
2014-03-14,13803.0,17778.0,16127.5
2014-03-15,13671.0,16427.0,15265.0
2014-03-16,14119.0,17018.0,15378.916666666666
2014-03-17,14746.0,18858.0,17174.291666666668
2014-03-18,14336.0,18283.0,16711.958333333332
2014-03-19,14175.0,18183.0,16660.5
2014-03-20,14152.0,18098.0,16275.375
2014-03-21,13928.0,17634.0,16058.5
2014-03-22,14197.0,16895.0,15723.166666666666
2014-03-23,14634.0,17226.0,15661.833333333334
2014-03-24,14668.0,18939.0,17290.0
2014-03-25,15050.0,19087.0,17443.958333333332
2014-03-26,15251.0,18979.0,17035.416666666668
2014-03-27,14263.0,18205.0,16782.041666666668
2014-03-28,14534.0,18474.0,16679.291666666668
2014-03-29,13886.0,16152.0,14941.666666666666
2014-03-30,12947.0,15718.0,14300.958333333334
2014-03-31,12863.0,17516.0,15958.083333333334
2014-04-01,13923.0,18204.0,16532.625
2014-04-02,14023.0,18016.0,16420.208333333332
2014-04-03,13849.0,17919.0,16561.791666666668
2014-04-04,14049.0,18109.0,16381.166666666666
2014-04-05,13578.0,15760.0,14572.458333333334
2014-04-06,12586.0,15331.0,13915.166666666666
2014-04-07,12575.0,17084.0,15564.541666666666
2014-04-08,13008.0,16963.0,15428.25
2014-04-09,12933.0,16667.0,15406.416666666666
2014-04-10,12496.0,16642.0,15214.0
2014-04-11,12603.0,16353.0,14835.791666666666
2014-04-12,11984.0,14884.0,13751.666666666666
2014-04-13,11863.0,15570.0,13731.916666666666
2014-04-14,13302.0,17823.0,16349.541666666666
2014-04-15,14249.0,17990.0,16318.875
2014-04-16,13831.0,17707.0,16177.0
2014-04-17,13832.0,17792.0,16265.0
2014-04-18,13240.0,16441.0,14943.625
2014-04-19,12256.0,14765.0,13677.5
2014-04-20,11512.0,14669.0,13074.083333333334
2014-04-21,11715.0,16321.0,14709.125
2014-04-22,12486.0,16499.0,15082.458333333334
2014-04-23,12455.0,16496.0,15189.916666666666
2014-04-24,12679.0,16804.0,15351.625
2014-04-25,12829.0,16702.0,15156.958333333334
2014-04-26,12157.0,14993.0,13797.791666666666
2014-04-27,11808.0,15225.0,13567.291666666666
2014-04-28,12688.0,17315.0,15729.916666666666
2014-04-29,13231.0,17332.0,15935.375
2014-04-30,13228.0,17091.0,15723.791666666666
2014-05-01,13156.0,17304.0,15806.208333333334
2014-05-02,12860.0,16797.0,15187.375
2014-05-03,12063.0,14571.0,13498.333333333334
2014-05-04,11604.0,14447.0,13043.916666666666
2014-05-05,11966.0,16622.0,14948.166666666666
2014-05-06,12223.0,16380.0,14989.041666666666
2014-05-07,12168.0,17025.0,15424.416666666666
2014-05-08,12699.0,17818.0,15907.083333333334
2014-05-09,12504.0,16600.0,14913.333333333334
2014-05-10,11786.0,14369.0,13322.208333333334
2014-05-11,11122.0,14730.0,13065.0
2014-05-12,11959.0,17259.0,15364.375
2014-05-13,12233.0,16604.0,15103.541666666666
2014-05-14,12465.0,16188.0,14887.041666666666
2014-05-15,12595.0,16595.0,15186.041666666666
2014-05-16,12562.0,16370.0,14743.625
2014-05-17,11977.0,14336.0,13246.875
2014-05-18,11296.0,14397.0,12867.25
2014-05-19,11791.0,16854.0,15142.333333333334
2014-05-20,12340.0,17894.0,15856.708333333334
2014-05-21,12598.0,17231.0,15552.166666666666
2014-05-22,12254.0,16812.0,15223.208333333334
2014-05-23,12130.0,16670.0,14992.75
2014-05-24,11808.0,15224.0,13929.75
2014-05-25,11120.0,15334.0,13575.208333333334
2014-05-26,11707.0,17253.0,14835.958333333334
2014-05-27,12416.0,19881.0,17036.625
2014-05-28,13135.0,18916.0,16748.166666666668
2014-05-29,13054.0,19110.0,16782.875
2014-05-30,13396.0,20299.0,17520.708333333332
2014-05-31,13281.0,19147.0,16633.5
2014-06-01,13137.0,19459.0,16581.666666666668
2014-06-02,13452.0,20368.0,17600.208333333332
2014-06-03,13170.0,19551.0,16976.125
2014-06-04,13155.0,18463.0,16464.333333333332
2014-06-05,13026.0,18912.0,16614.708333333332
2014-06-06,12887.0,19383.0,16714.166666666668
2014-06-07,12729.0,16060.0,14717.5
2014-06-08,11297.0,15061.0,13434.958333333334
2014-06-09,11757.0,17359.0,15377.25
2014-06-10,12551.0,18428.0,16153.541666666666
2014-06-11,12761.0,19013.0,16586.625
2014-06-12,13178.0,17929.0,16192.833333333334
2014-06-13,12457.0,17138.0,15386.333333333334
2014-06-14,12174.0,15656.0,14312.0
2014-06-15,11959.0,16408.0,14385.416666666666
2014-06-16,12407.0,20530.0,17337.25
2014-06-17,14272.0,22410.0,19115.916666666668
2014-06-18,14682.0,22554.0,19379.541666666668
2014-06-19,14491.0,21541.0,18621.625
2014-06-20,13468.0,21344.0,18072.25
2014-06-21,13622.0,19969.0,17207.25
2014-06-22,12807.0,19236.0,16375.125
2014-06-23,13362.0,20786.0,17800.916666666668
