Date,min,max,avg
2013-12-19,16364.01,19489.31,17674.857083333336
2013-12-20,14170.99,18642.35,16645.19
2013-12-21,14209.17,18458.94,16548.447083333333
2013-12-22,14124.99,19369.08,16664.23
2013-12-23,16583.04,22248.4,19727.715
2013-12-24,17393.07,23041.36,20248.34875
2013-12-25,15837.17,21914.79,18996.219166666666
2013-12-26,17039.85,21371.54,18948.161666666667
2013-12-27,17904.15,21271.28,19331.10875
2013-12-28,17180.74,20266.24,18916.94583333333
2013-12-29,16054.27,19435.62,17743.086666666666
2013-12-30,16688.04,21793.59,19610.731666666667
2013-12-31,18359.81,22085.1,20346.469999999998
2014-01-01,16552.57,19442.1,18183.1125
2014-01-02,14730.46,23099.76,18899.70708333333
2014-01-03,20116.73,25533.56,22628.73041666667
2014-01-04,17953.13,23616.43,20823.697916666668
2014-01-05,15608.52,22579.55,18320.367499999997
2014-01-06,21969.57,29701.82,26241.392916666664
2014-01-07,23324.21,29983.35,26603.51166666667
2014-01-08,21518.49,27842.2,24145.39333333333
2014-01-09,18453.57,23086.16,20268.57875
2014-01-10,16337.68,19589.25,17890.272500000003
2014-01-11,13913.9,17574.54,15972.675416666665
2014-01-12,15381.43,20005.8,17113.405416666665
2014-01-13,14461.7,18902.88,16927.283333333333
2014-01-14,16333.04,21530.31,18134.12916666667
2014-01-15,16990.39,22775.67,19664.062916666666
2014-01-16,17158.09,24169.52,20220.1275
2014-01-17,17097.79,21664.6,19338.982916666664
2014-01-18,16478.420000000002,23269.98,19754.539583333335
2014-01-19,15441.71,19087.45,17212.83875
2014-01-20,16192.88,21629.03,18151.806666666667
2014-01-21,14842.08,22879.07,18689.014583333334
2014-01-22,18258.9,26188.28,21466.736666666668
2014-01-23,18623.65,25438.69,21850.67916666667
2014-01-24,23345.36,27950.64,25734.88083333333
2014-01-25,17591.100000000002,25305.62,21825.818750000002
2014-01-26,16061.57,21111.43,18571.943333333333
2014-01-27,15337.06,22900.17,19126.693750000002
2014-01-28,20788.85,28487.07,25485.91333333333
2014-01-29,23565.49,28825.66,26167.846250000002
2014-01-30,19662.19,28790.63,23935.39833333333
2014-01-31,16916.73,22500.13,19177.094583333335
2014-02-01,15649.49,17742.260000000002,16528.597083333334
2014-02-02,13750.58,19762.79,16924.924166666668
2014-02-03,17483.04,23525.5,20944.517916666668
2014-02-04,19066.83,22759.74,20804.392916666668
2014-02-05,17798.93,24885.74,21327.336666666666
2014-02-06,21909.52,27439.75,25042.497499999998
2014-02-07,22316.11,27092.9,24186.123333333333
2014-02-08,18165.6,22737.63,20460.729583333334
2014-02-09,16931.44,19636.88,18201.181666666667
2014-02-10,15956.42,23536.96,19881.89833333333
2014-02-11,19931.29,26717.26,23483.3875
2014-02-12,21813.91,26061.0,24044.407083333335
2014-02-13,17538.81,26392.56,21544.259583333333
2014-02-14,17020.81,23807.87,19422.7925
2014-02-15,16113.71,20624.02,17966.912083333333
2014-02-16,15419.39,19458.75,17284.024583333332
2014-02-17,14483.28,18579.52,16639.14875
2014-02-18,14326.17,18371.08,16567.210833333334
2014-02-19,13389.35,18587.81,16243.408750000002
2014-02-20,13568.0,18701.02,16435.069583333334
2014-02-21,13763.51,18357.13,16302.6
2014-02-22,15232.51,18371.43,16446.653333333332
2014-02-23,14228.07,17697.79,15869.523333333333
2014-02-24,14370.12,18860.89,16844.41875
2014-02-25,14569.37,19226.8,16965.142916666668
2014-02-26,15679.82,23802.65,19813.328333333335
2014-02-27,17722.65,25667.98,21082.86875
2014-02-28,17264.89,23579.56,19617.43375
2014-03-01,14748.43,17131.6,15995.126250000001
2014-03-02,13493.64,19191.88,16217.695416666667
2014-03-03,16304.38,24727.52,20871.567916666667
2014-03-04,21646.22,24801.66,23428.83541666667
2014-03-05,19438.86,23647.22,21132.465416666666
2014-03-06,17655.05,22249.06,19960.184166666666
2014-03-07,16579.14,22384.53,18965.482083333336
2014-03-08,15443.42,18281.52,16718.357916666668
2014-03-09,14429.25,17954.43,16079.760833333334
2014-03-10,14666.16,18625.7,16780.54291666667
2014-03-11,13870.8,18087.26,16253.495833333334
2014-03-12,13599.15,18612.56,16343.06875
2014-03-13,16003.43,21329.58,17530.67916666667
2014-03-14,15392.91,19890.17,16848.718333333334
2014-03-15,13986.72,16915.63,15564.282500000001
2014-03-16,13473.73,18667.41,15863.784583333334
2014-03-17,15417.52,21234.83,18865.23041666667
2014-03-18,15698.92,21845.55,18132.467083333333
2014-03-19,14731.07,18350.24,16617.91125
2014-03-20,14279.99,18118.1,16261.620833333334
2014-03-21,14175.13,18118.59,16221.701666666666
2014-03-22,13394.6,17619.31,15650.08375
2014-03-23,13906.09,17842.82,15708.86875
2014-03-24,14638.93,19021.71,16915.502083333333
2014-03-25,15069.68,19503.66,17192.094583333335
2014-03-26,16219.47,20899.92,18034.43958333333
2014-03-27,15157.78,18337.12,16881.0225
2014-03-28,13911.6,17913.33,16459.5775
2014-03-29,13534.93,16785.14,15383.49875
2014-03-30,14078.79,17202.04,15571.385416666666
2014-03-31,13793.87,18322.53,16478.580833333333
2014-04-01,13650.09,18976.31,16636.774583333332
2014-04-02,13668.84,19403.83,16876.605833333335
2014-04-03,14214.77,20081.38,17569.9025
2014-04-04,14263.92,17849.57,16575.174583333333
2014-04-05,13812.47,16847.37,15253.886250000001
2014-04-06,13823.08,18387.25,16043.129583333333
2014-04-07,14396.72,18327.83,16585.209166666667
2014-04-08,14108.63,18383.33,16399.0675
2014-04-09,14819.39,18830.02,16624.326250000002
2014-04-10,13763.86,18295.66,16365.044999999998
2014-04-11,13527.28,18399.43,16420.038750000003
2014-04-12,13572.43,18282.05,16211.803750000001
2014-04-13,13621.45,18703.29,16340.822083333333
2014-04-14,14433.27,18571.18,16946.874166666665
2014-04-15,14878.64,19545.33,17304.673749999998
2014-04-16,15542.3,20070.75,17117.631666666664
2014-04-17,14852.69,18118.8,16399.260416666668
2014-04-18,13490.69,17037.95,15682.264166666666
2014-04-19,13236.4,17739.61,15617.019999999999
2014-04-20,13017.58,18323.84,15830.967916666668
2014-04-21,13345.53,19613.86,16927.179583333334
2014-04-22,13913.36,19802.44,17201.189166666667
2014-04-23,13849.05,20975.66,17536.66125
2014-04-24,13924.73,20333.96,17524.2075
2014-04-25,14346.1,21363.53,17934.765
2014-04-26,14020.37,20487.28,17388.232083333332
2014-04-27,14963.52,20520.17,18004.34041666667
2014-04-28,15276.0,21595.47,18736.455
2014-04-29,14881.03,20633.21,17965.825416666667
2014-04-30,13747.2,17932.61,16147.485416666668
2014-05-01,13566.92,18010.52,15995.677916666667
2014-05-02,13521.69,17816.89,16161.505416666667
2014-05-03,13402.07,19340.05,16305.244583333333
2014-05-04,13246.39,21294.02,17027.8575
2014-05-05,13505.24,22323.41,17941.696666666667
2014-05-06,13839.27,21846.31,17905.415833333333
2014-05-07,14310.06,22515.33,18679.4325
2014-05-08,15261.1,21442.24,18972.600833333334
2014-05-09,15689.68,19334.43,17832.13708333333
2014-05-10,13993.24,21417.25,17738.256250000002
2014-05-11,15238.51,21298.59,18692.93375
2014-05-12,16153.19,23584.74,20141.475652173915
2014-05-13,15404.82,21262.14,18691.489583333332
2014-05-14,14575.87,17878.18,16694.145416666666
2014-05-15,13476.81,17529.420000000002,15867.834583333335
2014-05-16,13148.48,18638.36,16239.325833333334
2014-05-17,13419.94,19190.45,16436.72125
2014-05-18,13454.17,20156.72,16831.72375
2014-05-19,13829.0,22681.21,18472.53
2014-05-20,14544.53,23608.34,19238.015
2014-05-21,15048.5,24545.65,19856.881250000002
2014-05-22,15224.55,25045.22,20175.73916666667
2014-05-23,15316.25,24467.46,19968.764583333334
2014-05-24,14892.31,22932.89,18981.4575
2014-05-25,14312.95,23494.26,19067.5975
2014-05-26,14669.97,23329.1,19213.510833333334
2014-05-27,15609.25,22506.5,19347.054166666665
2014-05-28,15597.3,19954.9,18160.76916666667
2014-05-29,14880.0,21495.35,18597.89875
2014-05-30,15232.65,21932.29,18892.484166666665
2014-05-31,15215.84,21061.3,18360.425
2014-06-01,15015.81,22070.79,18755.0975
2014-06-02,15624.08,23959.95,20142.350833333334
2014-06-03,15806.09,25436.1,20838.78458333333
2014-06-04,16155.54,26285.05,21484.91375
2014-06-05,16656.79,25831.88,21599.296666666665
2014-06-06,16833.69,26014.39,21864.725416666668
2014-06-07,16528.18,26653.3,21607.694166666668
2014-06-08,16304.34,24808.74,20864.869166666667
2014-06-09,16863.25,24656.28,21029.345833333336
2014-06-10,16703.39,22679.82,19927.968333333334
2014-06-11,15558.85,25578.76,20577.921666666665
2014-06-12,16112.56,26226.45,21425.680833333332
2014-06-13,17074.06,23995.76,20403.7
2014-06-14,15343.07,25176.64,20363.186666666665
2014-06-15,15897.3,25148.7,20736.112083333333
2014-06-16,16795.15,28048.56,22358.054583333334
2014-06-17,17475.53,28121.05,23037.402083333334
2014-06-18,17618.32,28216.55,23199.64125
2014-06-19,17670.62,28491.22,23274.314583333336
2014-06-20,17702.79,28449.18,23175.326250000002
2014-06-21,17316.12,26886.14,22381.204583333336
2014-06-22,17388.3,26062.1,21871.07625
2014-06-23,17496.72,27295.58,22401.657916666667
2014-06-24,17752.99,25697.71,21818.73041666667
2014-06-25,16863.45,25951.48,21176.935416666667
2014-06-26,16684.56,25045.51,20827.72333333333
2014-06-27,16755.09,23652.02,20368.498333333333
2014-06-28,16537.54,25122.46,20948.693333333333
2014-06-29,17217.49,26772.02,22051.809999999998
2014-06-30,17985.420000000002,29433.85,23813.256249999995
2014-07-01,18271.51,29561.05,24031.33083333333
2014-07-02,19050.68,28888.77,23662.399583333336
2014-07-03,16818.06,26723.09,21771.957083333335
2014-07-04,15801.7,24434.85,20060.96416666667
2014-07-05,14744.67,25204.16,20019.219583333335
2014-07-06,15186.88,26459.15,20923.279583333333
2014-07-07,16697.18,28508.97,22869.030833333334
2014-07-08,17973.78,27422.5,22749.30541666667
2014-07-09,17486.41,26045.67,22044.877916666668
2014-07-10,17005.35,26727.1,22312.967083333333
2014-07-11,17495.34,27891.58,22690.966666666664
2014-07-12,17138.010000000002,27649.23,22643.67583333334
2014-07-13,17259.35,27497.52,22622.08
2014-07-14,17916.48,28700.08,23463.699583333335
2014-07-15,18247.24,24604.72,21710.25458333333
2014-07-16,16577.19,25722.19,20962.39458333333
2014-07-17,16000.78,22870.79,19761.793333333335
2014-07-18,16540.59,19909.92,18660.8725
2014-07-19,15341.44,21666.4,18634.196666666667
2014-07-20,15524.9,23669.02,19624.6875
2014-07-21,16091.68,27705.85,22088.020833333332
2014-07-22,17262.52,27447.42,22452.995
2014-07-23,17207.3,27274.0,22189.502500000002
2014-07-24,16809.54,27018.58,21983.780833333334
2014-07-25,17275.77,28258.07,22782.784583333338
2014-07-26,17684.45,28483.32,23279.5575
2014-07-27,17865.12,28806.53,23577.326250000002
2014-07-28,19009.46,29346.41,24206.342083333333
2014-07-29,18049.37,27230.82,22490.15416666667
2014-07-30,16834.23,25676.22,21244.497083333332
2014-07-31,16676.88,24643.89,20737.718333333334
2014-08-01,16930.77,22849.89,20173.32875
2014-08-02,16526.49,23856.57,20269.5675
2014-08-03,16678.95,25245.79,20993.727916666667
2014-08-04,16798.48,27432.75,22305.379166666666
2014-08-05,17213.63,28844.03,23181.865416666667
2014-08-06,18068.85,29953.55,24087.18875
2014-08-07,18656.91,28848.55,23940.55875
2014-08-08,18650.21,28932.68,23977.12166666667
2014-08-09,18390.53,27052.96,22582.583333333332
2014-08-10,17406.37,25678.87,21812.6225
2014-08-11,17562.86,27795.55,22701.460833333334
2014-08-12,17404.170000000002,27918.63,22688.97
2014-08-13,17327.46,27506.62,22276.537499999995
2014-08-14,16701.14,27342.6,21884.801666666666
2014-08-15,16618.69,27925.71,22277.016666666663
2014-08-16,17424.2,28145.5,22853.41
2014-08-17,18647.43,26357.48,22711.855
2014-08-18,17979.13,28203.26,23223.33875
2014-08-19,18161.92,28405.45,23471.52291666667
2014-08-20,18148.54,28832.9,23610.697083333333
2014-08-21,18287.62,29116.96,23765.7025
2014-08-22,18151.65,30419.08,24325.867500000004
2014-08-23,18597.08,29938.04,24409.67583333334
2014-08-24,18511.07,30039.36,24321.003333333338
2014-08-25,19195.47,29700.83,24350.295833333334
2014-08-26,18238.49,28560.71,23483.86208333333
2014-08-27,17804.29,28694.91,23379.79375
2014-08-28,17812.11,28333.55,23173.862916666665
2014-08-29,17974.34,25793.47,22127.486666666664
2014-08-30,17381.98,21572.27,19934.3625
2014-08-31,16369.91,25211.9,20850.5125
2014-09-01,17498.62,26748.06,22107.19583333333
2014-09-02,17908.9,26709.43,22533.9575
2014-09-03,17237.58,28060.88,22623.27291666667
2014-09-04,17809.04,28754.5,23400.685416666664
2014-09-05,17909.260000000002,27144.95,22525.3225
2014-09-06,16899.56,25977.96,21425.41625
2014-09-07,16477.41,24711.18,20684.484166666665
2014-09-08,16593.8,27835.85,22440.772083333333
2014-09-09,17621.95,29369.99,23577.736249999998
2014-09-10,18676.03,29761.97,24218.502916666668
2014-09-11,18693.8,27007.59,23051.128333333338
2014-09-12,17708.95,24190.91,21086.756666666664
2014-09-13,16553.15,19621.75,18287.937916666666
2014-09-14,14965.85,22708.57,18684.69
