Date,min,max,avg
2009-07-06,9023.22,15258.73,12710.903749999998
2009-07-07,9623.38,15007.54,12851.965833333334
2009-07-08,9707.64,14471.15,12557.807916666667
2009-07-09,9429.48,14547.53,12591.402916666666
2009-07-10,9993.45,15666.47,13207.894583333333
2009-07-11,9344.33,12613.55,11250.769999999999
2009-07-12,8685.86,12646.04,10829.77125
2009-07-13,9286.1,14766.12,12558.785833333333
2009-07-14,9645.99,14340.17,12637.654166666667
2009-07-15,9868.52,14259.59,12525.9125
2009-07-16,9376.96,13414.58,11823.24875
2009-07-17,8987.52,12511.05,11084.267500000002
2009-07-18,8574.99,11022.89,10088.885416666666
2009-07-19,8326.59,11734.51,10250.747083333334
2009-07-20,8799.36,14141.88,12133.604166666666
2009-07-21,9575.71,14341.02,12414.145416666666
2009-07-22,9400.63,14432.02,12473.455833333333
2009-07-23,9583.45,15310.51,13010.230416666667
2009-07-24,10020.72,14993.12,12853.684583333335
2009-07-25,9173.97,12197.18,11015.11625
2009-07-26,8758.07,13546.13,11314.35708333333
2009-07-27,9711.25,15867.9,13356.383333333331
2009-07-28,9809.83,14211.51,12440.015416666667
2009-07-29,9257.83,13830.26,12017.735416666668
2009-07-30,9275.63,13626.0,11934.350833333336
2009-07-31,9193.77,13498.46,11771.331666666665
2009-08-01,8740.460000000001,11267.94,10299.068333333335
2009-08-02,8332.59,12529.01,10529.009166666667
2009-08-03,9340.23,15357.6,12949.677083333334
2009-08-04,9886.48,14612.2,12643.652499999998
2009-08-05,9339.94,14119.5,12248.267916666666
2009-08-06,9502.9,14409.12,12461.505833333335
2009-08-07,9601.16,13473.89,12016.885416666666
2009-08-08,9421.56,14389.87,12185.530416666666
2009-08-09,9904.84,14203.69,12207.653333333334
2009-08-10,9698.99,16103.11,13391.04916666667
2009-08-11,9824.48,16322.33,13585.983333333332
2009-08-12,10071.49,17354.010000000002,14306.157083333334
2009-08-13,10950.43,16847.04,14405.567916666667
2009-08-14,10762.89,17560.5,14604.27625
2009-08-15,10549.91,14382.86,12691.543749999999
2009-08-16,9786.32,13544.1,11851.142083333334
2009-08-17,9387.54,14809.92,12651.951666666668
2009-08-18,9414.53,14223.98,12370.448333333334
2009-08-19,9614.19,13883.24,12233.97875
