Date,min,max,avg
2009-07-06,9310.0,15178.0,12810.75
2009-07-07,9754.0,14957.0,12909.083333333334
2009-07-08,9642.0,14930.0,12812.333333333334
2009-07-09,9547.0,15396.0,13066.75
2009-07-10,10076.0,15664.0,13331.5
2009-07-11,9098.4,12881.8,11258.033333333333
2009-07-12,8793.0,13286.0,11232.458333333334
2009-07-13,9348.0,14895.0,12705.791666666666
2009-07-14,9832.0,15450.0,13220.833333333334
2009-07-15,9808.0,14300.0,12609.375
2009-07-16,9494.0,14049.0,12263.625
2009-07-17,9087.0,13041.0,11471.291666666666
2009-07-18,8566.0,11355.0,10248.875
2009-07-19,8325.0,11970.0,10308.791666666666
2009-07-20,9031.0,14312.0,12242.375
2009-07-21,9554.0,14137.0,12370.916666666666
2009-07-22,9480.0,14554.0,12595.416666666666
2009-07-23,9722.0,14917.0,12927.708333333334
2009-07-24,9972.0,15295.0,13174.75
2009-07-25,9565.0,12886.0,11443.083333333334
2009-07-26,8536.0,12871.0,10888.458333333334
2009-07-27,9606.0,15563.0,13177.541666666666
2009-07-28,10107.0,14326.0,12668.041666666666
2009-07-29,9395.0,13961.0,12179.375
2009-07-30,9276.0,13296.0,11849.916666666666
2009-07-31,9161.0,13827.0,11976.333333333334
2009-08-01,9052.0,11582.0,10603.375
2009-08-02,8354.0,12917.0,10757.458333333334
2009-08-03,9606.0,15222.0,12961.75
2009-08-04,9889.0,14921.0,12868.333333333334
2009-08-05,9609.0,14737.0,12676.416666666666
2009-08-06,9517.0,14632.0,12629.958333333334
2009-08-07,9326.0,14589.0,12454.166666666666
2009-08-08,9215.0,14262.0,12141.666666666666
2009-08-09,9964.0,14753.0,12549.208333333334
2009-08-10,10098.0,15605.0,13438.333333333334
2009-08-11,10094.0,16116.0,13684.291666666666
2009-08-12,10244.0,16873.0,14208.541666666666
2009-08-13,11017.0,17998.0,15125.958333333334
2009-08-14,11256.0,17597.0,14961.208333333334
2009-08-15,10861.0,15299.0,13331.083333333334
2009-08-16,9944.0,13954.0,12146.125
2009-08-17,9603.0,15070.0,12916.375
2009-08-18,9602.0,14293.0,12442.791666666666
2009-08-19,9652.0,14516.0,12598.125
2009-08-20,9387.0,13301.0,11888.0
2009-08-21,9245.0,13238.0,11675.25
2009-08-22,8701.0,11375.0,10396.916666666666
2009-08-23,8515.0,12456.0,10620.5
2009-08-24,9350.0,15156.0,12881.958333333334
2009-08-25,9935.0,14947.0,12990.5
2009-08-26,9734.0,14713.0,12741.833333333334
2009-08-27,9280.0,14050.0,12206.333333333334
2009-08-28,9559.0,13599.0,12011.625
2009-08-29,8851.0,11387.0,10428.708333333334
2009-08-30,8392.0,11481.0,10018.25
2009-08-31,8568.0,13308.0,11573.5
2009-09-01,11196.0,16430.0,14606.458333333334
2009-09-02,11121.0,16422.0,14535.416666666666
2009-09-03,11239.0,16597.0,14650.083333333334
2009-09-04,11415.0,16856.0,14727.5
2009-09-05,10872.0,14888.0,13299.208333333334
2009-09-06,10499.0,15038.0,12930.125
2009-09-07,10584.6,15923.9,13445.570833333331
2009-09-08,11189.0,17614.0,15092.25
2009-09-09,11848.0,17704.0,15488.375
