Season,City,Quantile,Upper_Chi,Upper_ChiBar,Lower_Chi,Lower_ChiBar,N
HDD,Boston,0.9,0.0,0.0,0.7368421052631579,0.7508338721116812,1360
HDD,Boston,0.95,0.0,0.0,0.6417910447761194,0.7346251880951742,1360
HDD,Boston,0.99,0.0,0.0,0.6153846153846154,0.7933609515380682,1360
HDD,NewYork,0.9,0.022222222222222223,-0.24710634366869222,0.7185185185185186,0.7440331788034493,1360
HDD,NewYork,0.95,0.0,0.0,0.6857142857142857,0.7916850266281137,1360
HDD,NewYork,0.99,0.0,0.0,0.5,0.7479149473823372,1360
HDD,Chicago,0.9,0.0,0.0,0.696969696969697,0.7097654641601767,1360
HDD,Chicago,0.95,0.0,0.0,0.5942028985507246,0.7110316276799045,1360
HDD,Chicago,0.99,0.0,0.0,0.38461538461538464,0.6430013516445583,1360
HDD,Minneapolis,0.9,0.0,0.0,0.6842105263157895,0.7028558789360175,1360
HDD,Minneapolis,0.95,0.0,0.0,0.5522388059701493,0.662299993522619,1360
HDD,Minneapolis,0.99,0.0,0.0,0.35714285714285715,0.6430013516445583,1360
CDD,Boston,0.9,0.7388059701492538,0.7493240568951571,0.0,0.0,1377
CDD,Boston,0.95,0.6533333333333333,0.7960875205661548,0.0,0.0,1377
CDD,Boston,0.99,0.5714285714285714,0.7890336193448744,0.0,0.0,1377
CDD,NewYork,0.9,0.6737588652482269,0.7223408539978111,0.0,0.0,1377
CDD,NewYork,0.95,0.6212121212121212,0.7049830284693337,0.0,0.0,1377
CDD,NewYork,0.99,0.3333333333333333,0.5767436934297634,0.0,0.0,1377
CDD,Chicago,0.9,0.49295774647887325,0.5457910849628518,0.0,0.0,1377
CDD,Chicago,0.95,0.390625,0.49458303335912124,0.0,0.0,1377
CDD,Chicago,0.99,0.25,0.5027353433747117,0.0,0.0,1377
CDD,Minneapolis,0.9,0.6095890410958904,0.6813166319356243,0.0,0.0,1377
CDD,Minneapolis,0.95,0.5384615384615384,0.6315227493461102,0.0,0.0,1377
CDD,Minneapolis,0.99,0.35714285714285715,0.6393684927520442,0.0,0.0,1377
