date,tmin,tmax,tavg
2014-01-01,19.0,29.0,24.0
2014-01-02,2.0,26.0,14.0
2014-01-03,2.0,14.0,8.0
2014-01-04,2.0,27.0,14.5
2014-01-05,24.0,38.0,31.0
2014-01-06,29.0,56.0,42.5
2014-01-07,9.0,29.0,19.0
2014-01-08,7.0,22.0,14.5
2014-01-09,19.0,30.0,24.5
2014-01-10,18.0,37.0,27.5
2014-01-11,34.0,59.0,46.5
2014-01-12,37.0,54.0,45.5
2014-01-13,31.0,51.0,41.0
2014-01-14,44.0,50.0,47.0
2014-01-15,35.0,48.0,41.5
2014-01-16,33.0,39.0,36.0
2014-01-17,33.0,46.0,39.5
2014-01-18,32.0,38.0,35.0
2014-01-19,30.0,35.0,32.5
2014-01-20,26.0,41.0,33.5
2014-01-21,11.0,26.0,18.5
2014-01-22,7.0,18.0,12.5
2014-01-23,6.0,22.0,14.0
2014-01-24,7.0,19.0,13.0
2014-01-25,15.0,38.0,26.5
2014-01-26,16.0,26.0,21.0
2014-01-27,21.0,47.0,34.0
2014-01-28,13.0,21.0,17.0
2014-01-29,15.0,27.0,21.0
2014-01-30,16.0,30.0,23.0
2014-01-31,22.0,43.0,32.5
2014-02-01,32.0,42.0,37.0
2014-02-02,31.0,55.0,43.0
2014-02-03,27.0,41.0,34.0
2014-02-04,23.0,35.0,29.0
2014-02-05,24.0,33.0,28.5
2014-02-06,19.0,28.0,23.5
2014-02-07,19.0,30.0,24.5
2014-02-08,18.0,29.0,23.5
2014-02-09,21.0,30.0,25.5
2014-02-10,20.0,30.0,25.0
2014-02-11,14.0,25.0,19.5
2014-02-12,8.0,23.0,15.5
2014-02-13,21.0,36.0,28.5
2014-02-14,29.0,37.0,33.0
2014-02-15,27.0,35.0,31.0
2014-02-16,23.0,33.0,28.0
2014-02-17,14.0,29.0,21.5
2014-02-18,14.0,35.0,24.5
2014-02-19,21.0,36.0,28.5
2014-02-20,33.0,48.0,40.5
2014-02-21,34.0,44.0,39.0
2014-02-22,34.0,50.0,42.0
2014-02-23,34.0,52.0,43.0
2014-02-24,24.0,45.0,34.5
2014-02-25,22.0,29.0,25.5
2014-02-26,16.0,32.0,24.0
2014-02-27,12.0,30.0,21.0
2014-02-28,10.0,25.0,17.5
2014-03-01,16.0,36.0,26.0
2014-03-02,30.0,40.0,35.0
2014-03-03,16.0,30.0,23.0
2014-03-04,12.0,31.0,21.5
2014-03-05,20.0,29.0,24.5
2014-03-06,11.0,25.0,18.0
2014-03-07,16.0,34.0,25.0
2014-03-08,27.0,55.0,41.0
2014-03-09,30.0,43.0,36.5
2014-03-10,28.0,44.0,36.0
2014-03-11,34.0,60.0,47.0
2014-03-12,37.0,46.0,41.5
2014-03-13,17.0,37.0,27.0
2014-03-14,16.0,39.0,27.5
2014-03-15,38.0,57.0,47.5
2014-03-16,23.0,37.0,30.0
2014-03-17,16.0,27.0,21.5
2014-03-18,20.0,33.0,26.5
2014-03-19,27.0,41.0,34.0
2014-03-20,37.0,52.0,44.5
2014-03-21,34.0,45.0,39.5
2014-03-22,28.0,57.0,42.5
2014-03-23,22.0,44.0,33.0
2014-03-24,17.0,33.0,25.0
2014-03-25,21.0,39.0,30.0
2014-03-26,24.0,35.0,29.5
2014-03-27,21.0,46.0,33.5
2014-03-28,35.0,60.0,47.5
2014-03-29,39.0,52.0,45.5
2014-03-30,36.0,43.0,39.5
2014-03-31,34.0,42.0,38.0
2014-04-01,34.0,47.0,40.5
2014-04-02,37.0,46.0,41.5
2014-04-03,34.0,54.0,44.0
2014-04-04,37.0,44.0,40.5
2014-04-05,38.0,54.0,46.0
2014-04-06,35.0,59.0,47.0
2014-04-07,38.0,59.0,48.5
2014-04-08,43.0,65.0,54.0
2014-04-09,41.0,59.0,50.0
2014-04-10,34.0,60.0,47.0
2014-04-11,48.0,69.0,58.5
2014-04-12,49.0,69.0,59.0
2014-04-13,45.0,63.0,54.0
2014-04-14,57.0,75.0,66.0
2014-04-15,41.0,68.0,54.5
2014-04-16,31.0,45.0,38.0
2014-04-17,32.0,40.0,36.0
2014-04-18,31.0,42.0,36.5
2014-04-19,37.0,63.0,50.0
2014-04-20,39.0,48.0,43.5
2014-04-21,36.0,69.0,52.5
2014-04-22,47.0,73.0,60.0
2014-04-23,46.0,57.0,51.5
2014-04-24,42.0,59.0,50.5
2014-04-25,43.0,57.0,50.0
2014-04-26,42.0,47.0,44.5
2014-04-27,41.0,50.0,45.5
2014-04-28,42.0,54.0,48.0
2014-04-29,42.0,44.0,43.0
2014-04-30,41.0,45.0,43.0
2014-05-01,44.0,60.0,52.0
2014-05-02,50.0,69.0,59.5
2014-05-03,50.0,67.0,58.5
2014-05-04,50.0,62.0,56.0
2014-05-05,50.0,66.0,58.0
2014-05-06,47.0,64.0,55.5
2014-05-07,47.0,69.0,58.0
2014-05-08,48.0,62.0,55.0
2014-05-09,50.0,59.0,54.5
2014-05-10,57.0,80.0,68.5
2014-05-11,62.0,80.0,71.0
2014-05-12,52.0,85.0,68.5
2014-05-13,46.0,52.0,49.0
2014-05-14,46.0,63.0,54.5
2014-05-15,57.0,77.0,67.0
2014-05-16,59.0,73.0,66.0
2014-05-17,58.0,75.0,66.5
2014-05-18,52.0,63.0,57.5
2014-05-19,52.0,68.0,60.0
2014-05-20,53.0,69.0,61.0
2014-05-21,52.0,65.0,58.5
2014-05-22,51.0,59.0,55.0
2014-05-23,52.0,57.0,54.5
2014-05-24,52.0,61.0,56.5
2014-05-25,52.0,66.0,59.0
2014-05-26,55.0,79.0,67.0
2014-05-27,50.0,74.0,62.0
2014-05-28,44.0,50.0,47.0
2014-05-29,43.0,58.0,50.5
2014-05-30,48.0,66.0,57.0
2014-05-31,52.0,60.0,56.0
2014-06-01,51.0,66.0,58.5
2014-06-02,56.0,83.0,69.5
2014-06-03,57.0,72.0,64.5
2014-06-04,55.0,60.0,57.5
2014-06-05,57.0,60.0,58.5
2014-06-06,57.0,76.0,66.5
2014-06-07,61.0,80.0,70.5
2014-06-08,67.0,81.0,74.0
2014-06-09,66.0,81.0,73.5
2014-06-10,59.0,79.0,69.0
2014-06-11,58.0,63.0,60.5
2014-06-12,59.0,66.0,62.5
2014-06-13,59.0,64.0,61.5
2014-06-14,58.0,77.0,67.5
2014-06-15,58.0,80.0,69.0
2014-06-16,62.0,73.0,67.5
2014-06-17,62.0,84.0,73.0
2014-06-18,68.0,87.0,77.5
2014-06-19,67.0,84.0,75.5
2014-06-20,61.0,77.0,69.0
2014-06-21,57.0,75.0,66.0
2014-06-22,59.0,71.0,65.0
2014-06-23,59.0,77.0,68.0
2014-06-24,60.0,84.0,72.0
2014-06-25,66.0,89.0,77.5
2014-06-26,60.0,81.0,70.5
2014-06-27,59.0,72.0,65.5
2014-06-28,59.0,80.0,69.5
2014-06-29,62.0,86.0,74.0
2014-06-30,64.0,89.0,76.5
2014-07-01,69.0,89.0,79.0
2014-07-02,73.0,91.0,82.0
2014-07-03,69.0,92.0,80.5
2014-07-04,64.0,76.0,70.0
2014-07-05,59.0,80.0,69.5
2014-07-06,66.0,85.0,75.5
2014-07-07,69.0,88.0,78.5
2014-07-08,73.0,92.0,82.5
2014-07-09,73.0,88.0,80.5
2014-07-10,66.0,82.0,74.0
2014-07-11,63.0,73.0,68.0
2014-07-12,62.0,80.0,71.0
2014-07-13,68.0,85.0,76.5
2014-07-14,71.0,86.0,78.5
2014-07-15,71.0,85.0,78.0
2014-07-16,69.0,76.0,72.5
2014-07-17,67.0,81.0,74.0
2014-07-18,65.0,76.0,70.5
2014-07-19,63.0,72.0,67.5
2014-07-20,61.0,72.0,66.5
2014-07-21,61.0,73.0,67.0
2014-07-22,63.0,87.0,75.0
2014-07-23,71.0,92.0,81.5
2014-07-24,63.0,76.0,69.5
2014-07-25,62.0,83.0,72.5
2014-07-26,64.0,85.0,74.5
2014-07-27,66.0,80.0,73.0
2014-07-28,65.0,84.0,74.5
2014-07-29,64.0,79.0,71.5
2014-07-30,63.0,78.0,70.5
2014-07-31,62.0,81.0,71.5
2014-08-01,65.0,82.0,73.5
2014-08-02,62.0,72.0,67.0
2014-08-03,62.0,70.0,66.0
2014-08-04,62.0,80.0,71.0
2014-08-05,70.0,82.0,76.0
2014-08-06,70.0,83.0,76.5
2014-08-07,64.0,79.0,71.5
2014-08-08,61.0,85.0,73.0
2014-08-09,65.0,78.0,71.5
2014-08-10,66.0,80.0,73.0
2014-08-11,65.0,84.0,74.5
2014-08-12,64.0,82.0,73.0
2014-08-13,64.0,69.0,66.5
2014-08-14,62.0,77.0,69.5
2014-08-15,60.0,75.0,67.5
2014-08-16,61.0,78.0,69.5
2014-08-17,64.0,81.0,72.5
2014-08-18,62.0,79.0,70.5
2014-08-19,59.0,74.0,66.5
2014-08-20,59.0,74.0,66.5
2014-08-21,60.0,72.0,66.0
2014-08-22,63.0,72.0,67.5
2014-08-23,61.0,72.0,66.5
2014-08-24,63.0,75.0,69.0
2014-08-25,67.0,81.0,74.0
2014-08-26,64.0,85.0,74.5
2014-08-27,67.0,91.0,79.0
2014-08-28,64.0,82.0,73.0
2014-08-29,59.0,71.0,65.0
2014-08-30,58.0,79.0,68.5
2014-08-31,67.0,85.0,76.0
2014-09-01,72.0,85.0,78.5
2014-09-02,71.0,93.0,82.0
2014-09-03,72.0,85.0,78.5
