date,tmin,tmax,tavg
2014-01-01,31.0,69.0,50.0
2014-01-02,25.0,43.0,34.0
2014-01-03,25.0,52.0,38.5
2014-01-04,41.0,70.0,55.5
2014-01-05,21.0,50.0,35.5
2014-01-06,15.0,33.0,24.0
2014-01-07,19.0,48.0,33.5
2014-01-08,39.0,48.0,43.5
2014-01-09,41.0,48.0,44.5
2014-01-10,47.0,70.0,58.5
2014-01-11,37.0,69.0,53.0
2014-01-12,42.0,74.0,58.0
2014-01-13,42.0,64.0,53.0
2014-01-14,32.0,66.0,49.0
2014-01-15,33.0,58.0,45.5
2014-01-16,35.0,66.0,50.5
2014-01-17,38.0,55.0,46.5
2014-01-18,35.0,69.0,52.0
2014-01-19,39.0,65.0,52.0
2014-01-20,42.0,73.0,57.5
2014-01-21,36.0,52.0,44.0
2014-01-22,30.0,60.0,45.0
2014-01-23,24.0,45.0,34.5
2014-01-24,18.0,43.0,30.5
2014-01-25,26.0,68.0,47.0
2014-01-26,47.0,74.0,60.5
2014-01-27,25.0,52.0,38.5
2014-01-28,22.0,36.0,29.0
2014-01-29,16.0,47.0,31.5
2014-01-30,32.0,60.0,46.0
2014-01-31,52.0,74.0,63.0
2014-02-01,40.0,66.0,53.0
2014-02-02,30.0,40.0,35.0
2014-02-03,30.0,43.0,36.5
2014-02-04,38.0,48.0,43.0
2014-02-05,22.0,38.0,30.0
2014-02-06,17.0,25.0,21.0
2014-02-07,23.0,32.0,27.5
2014-02-08,32.0,55.0,43.5
2014-02-09,36.0,47.0,41.5
2014-02-10,30.0,36.0,33.0
2014-02-11,28.0,36.0,32.0
2014-02-12,30.0,51.0,40.5
2014-02-13,30.0,67.0,48.5
2014-02-14,42.0,72.0,57.0
2014-02-15,37.0,70.0,53.5
2014-02-16,45.0,76.0,60.5
2014-02-17,49.0,75.0,62.0
2014-02-18,43.0,82.0,62.5
2014-02-19,60.0,70.0,65.0
2014-02-20,44.0,74.0,59.0
2014-02-21,34.0,67.0,50.5
2014-02-22,47.0,75.0,61.0
2014-02-23,48.0,71.0,59.5
2014-02-24,41.0,56.0,48.5
2014-02-25,42.0,55.0,48.5
2014-02-26,32.0,43.0,37.5
2014-02-27,25.0,56.0,40.5
2014-02-28,44.0,84.0,64.0
2014-03-01,46.0,81.0,63.5
2014-03-02,19.0,71.0,45.0
2014-03-03,16.0,34.0,25.0
2014-03-04,25.0,50.0,37.5
2014-03-05,31.0,56.0,43.5
2014-03-06,41.0,56.0,48.5
2014-03-07,35.0,67.0,51.0
2014-03-08,39.0,56.0,47.5
2014-03-09,38.0,63.0,50.5
2014-03-10,41.0,78.0,59.5
2014-03-11,55.0,86.0,70.5
2014-03-12,45.0,63.0,54.0
2014-03-13,34.0,68.0,51.0
2014-03-14,48.0,73.0,60.5
2014-03-15,54.0,68.0,61.0
2014-03-16,42.0,56.0,49.0
2014-03-17,35.0,61.0,48.0
2014-03-18,51.0,82.0,66.5
2014-03-19,45.0,66.0,55.5
2014-03-20,40.0,72.0,56.0
2014-03-21,53.0,82.0,67.5
2014-03-22,51.0,67.0,59.0
2014-03-23,43.0,58.0,50.5
2014-03-24,38.0,67.0,52.5
2014-03-25,42.0,64.0,53.0
2014-03-26,44.0,62.0,53.0
2014-03-27,58.0,82.0,70.0
2014-03-28,54.0,80.0,67.0
2014-03-29,46.0,74.0,60.0
2014-03-30,48.0,79.0,63.5
2014-03-31,57.0,81.0,69.0
2014-04-01,66.0,84.0,75.0
2014-04-02,71.0,83.0,77.0
2014-04-03,59.0,84.0,71.5
2014-04-04,45.0,67.0,56.0
2014-04-05,49.0,57.0,53.0
2014-04-06,47.0,53.0,50.0
2014-04-07,47.0,69.0,58.0
2014-04-08,50.0,72.0,61.0
2014-04-09,44.0,81.0,62.5
2014-04-10,59.0,86.0,72.5
2014-04-11,62.0,83.0,72.5
2014-04-12,66.0,85.0,75.5
2014-04-13,61.0,78.0,69.5
2014-04-14,43.0,61.0,52.0
2014-04-15,35.0,64.0,49.5
2014-04-16,44.0,69.0,56.5
2014-04-17,49.0,63.0,56.0
2014-04-18,55.0,76.0,65.5
2014-04-19,55.0,79.0,67.0
2014-04-20,61.0,80.0,70.5
2014-04-21,63.0,83.0,73.0
2014-04-22,60.0,84.0,72.0
2014-04-23,60.0,87.0,73.5
2014-04-24,63.0,84.0,73.5
2014-04-25,58.0,84.0,71.0
2014-04-26,61.0,84.0,72.5
2014-04-27,73.0,91.0,82.0
2014-04-28,65.0,83.0,74.0
2014-04-29,57.0,76.0,66.5
2014-04-30,49.0,68.0,58.5
2014-05-01,42.0,75.0,58.5
2014-05-02,50.0,82.0,66.0
2014-05-03,52.0,90.0,71.0
2014-05-04,61.0,96.0,78.5
2014-05-05,62.0,92.0,77.0
2014-05-06,65.0,89.0,77.0
2014-05-07,70.0,88.0,79.0
2014-05-08,64.0,78.0,71.0
2014-05-09,64.0,89.0,76.5
2014-05-10,65.0,89.0,77.0
2014-05-11,74.0,89.0,81.5
2014-05-12,59.0,84.0,71.5
2014-05-13,55.0,71.0,63.0
2014-05-14,53.0,74.0,63.5
2014-05-15,51.0,84.0,67.5
2014-05-16,56.0,87.0,71.5
2014-05-17,59.0,84.0,71.5
2014-05-18,64.0,85.0,74.5
2014-05-19,66.0,88.0,77.0
2014-05-20,69.0,88.0,78.5
2014-05-21,70.0,89.0,79.5
2014-05-22,69.0,89.0,79.0
2014-05-23,72.0,84.0,78.0
2014-05-24,72.0,88.0,80.0
2014-05-25,70.0,87.0,78.5
2014-05-26,70.0,82.0,76.0
2014-05-27,66.0,79.0,72.5
2014-05-28,65.0,84.0,74.5
2014-05-29,68.0,89.0,78.5
2014-05-30,69.0,88.0,78.5
2014-05-31,71.0,89.0,80.0
2014-06-01,71.0,92.0,81.5
2014-06-02,75.0,92.0,83.5
2014-06-03,75.0,92.0,83.5
2014-06-04,76.0,94.0,85.0
2014-06-05,75.0,91.0,83.0
2014-06-06,75.0,94.0,84.5
2014-06-07,76.0,96.0,86.0
2014-06-08,70.0,89.0,79.5
2014-06-09,65.0,81.0,73.0
2014-06-10,67.0,86.0,76.5
2014-06-11,65.0,95.0,80.0
2014-06-12,72.0,85.0,78.5
2014-06-13,73.0,90.0,81.5
2014-06-14,75.0,92.0,83.5
2014-06-15,76.0,94.0,85.0
2014-06-16,76.0,96.0,86.0
2014-06-17,78.0,95.0,86.5
2014-06-18,77.0,96.0,86.5
2014-06-19,76.0,95.0,85.5
2014-06-20,77.0,93.0,85.0
2014-06-21,78.0,88.0,83.0
2014-06-22,70.0,82.0,76.0
2014-06-23,68.0,88.0,78.0
2014-06-24,71.0,93.0,82.0
2014-06-25,70.0,86.0,78.0
2014-06-26,70.0,89.0,79.5
2014-06-27,74.0,92.0,83.0
2014-06-28,77.0,90.0,83.5
2014-06-29,79.0,94.0,86.5
2014-06-30,77.0,95.0,86.0
2014-07-01,74.0,94.0,84.0
2014-07-02,77.0,93.0,85.0
2014-07-03,71.0,87.0,79.0
2014-07-04,74.0,93.0,83.5
2014-07-05,73.0,93.0,83.0
2014-07-06,74.0,95.0,84.5
2014-07-07,76.0,99.0,87.5
2014-07-08,78.0,98.0,88.0
2014-07-09,76.0,97.0,86.5
2014-07-10,78.0,98.0,88.0
2014-07-11,74.0,96.0,85.0
2014-07-12,75.0,99.0,87.0
2014-07-13,77.0,100.0,88.5
2014-07-14,78.0,101.0,89.5
2014-07-15,73.0,94.0,83.5
2014-07-16,69.0,92.0,80.5
2014-07-17,68.0,79.0,73.5
2014-07-18,65.0,77.0,71.0
2014-07-19,68.0,78.0,73.0
2014-07-20,65.0,93.0,79.0
2014-07-21,74.0,98.0,86.0
2014-07-22,77.0,98.0,87.5
2014-07-23,76.0,97.0,86.5
2014-07-24,74.0,97.0,85.5
2014-07-25,74.0,100.0,87.0
2014-07-26,78.0,102.0,90.0
2014-07-27,80.0,103.0,91.5
2014-07-28,78.0,96.0,87.0
2014-07-29,73.0,85.0,79.0
2014-07-30,73.0,91.0,82.0
2014-07-31,71.0,81.0,76.0
2014-08-01,70.0,83.0,76.5
2014-08-02,67.0,90.0,78.5
2014-08-03,73.0,93.0,83.0
2014-08-04,74.0,95.0,84.5
2014-08-05,74.0,98.0,86.0
2014-08-06,79.0,100.0,89.5
2014-08-07,80.0,102.0,91.0
2014-08-08,81.0,104.0,92.5
2014-08-09,79.0,102.0,90.5
2014-08-10,80.0,101.0,90.5
2014-08-11,79.0,95.0,87.0
2014-08-12,76.0,93.0,84.5
2014-08-13,71.0,95.0,83.0
2014-08-14,72.0,95.0,83.5
2014-08-15,75.0,100.0,87.5
2014-08-16,81.0,101.0,91.0
2014-08-17,70.0,90.0,80.0
