Region,Model,N_Harmonics,AR_Order,MA_Order,GARCH_p,GARCH_q,N_Params,R²,Residual_Std,Log_Likelihood,AIC,BIC,GARCH_ω,GARCH_Σα,GARCH_Σβ,Persistence,Avg_Volatility
Boston,"3H + ARMA(0,0) + GARCH(1,1)",3,0,0,1,1,12,0.8115251581233215,7.605190840703539,-11225.860491715259,22475.720983430518,22548.893750314488,0.1762753868337192,0.17244774938213378,0.8273970140639795,0.9998447634461133,7.233446789357276
Boston,"3H + ARMA(0,0) + GARCH(1,2)",3,0,0,1,2,13,0.8115251581233215,7.605190840703539,-11180.70191465408,22387.40382930816,22466.674326765795,0.14255541157904156,0.13835285171231787,0.8616268624180223,0.9999797141303401,7.3253594432666596
Boston,"3H + ARMA(0,0) + GARCH(1,3)",3,0,0,1,3,14,0.8115251581233215,7.605190840703539,-11159.36626745496,22346.73253490992,22432.10076294122,0.2133490713673944,0.21242874785506694,0.7865838182875593,0.9990125661426262,7.262090044709381
Boston,"3H + ARMA(0,0) + GARCH(2,1)",3,0,0,2,1,13,0.8115251581233215,7.605190840703539,-11315.985281152363,22657.970562304727,22737.24105976236,0.1,0.2,0.8,1.0,7.164382918928994
Boston,"3H + ARMA(0,0) + GARCH(2,2)",3,0,0,2,2,14,0.8115251581233215,7.605190840703539,-11247.370447946776,22522.740895893552,22608.109123924853,0.1,0.2,0.8,1.0,7.239106662083137
Boston,"3H + ARMA(0,0) + GARCH(2,3)",3,0,0,2,3,15,0.8115251581233215,7.605190840703539,-11219.759093157998,22469.518186315996,22560.98414492096,0.1,0.2,0.8,1.0,7.269374350367277
Boston,"3H + ARMA(0,0) + GARCH(3,1)",3,0,0,3,1,14,0.8115251581233215,7.605190840703539,-11341.839892731283,22711.679785462566,22797.048013493866,0.1,0.30000000000000004,0.8,1.1,8.766743687830171
Boston,"3H + ARMA(0,0) + GARCH(3,2)",3,0,0,3,2,15,0.8115251581233215,7.605190840703539,-11318.418728228367,22666.837456456735,22758.3034150617,0.1,0.30000000000000004,0.8,1.1,8.851801065660103
Boston,"3H + ARMA(0,0) + GARCH(3,3)",3,0,0,3,3,16,0.8115251581233215,7.605190840703539,-11309.070322411262,22650.140644822524,22747.70433400115,0.1,0.30000000000000004,0.8,1.1,8.903887110400026
Boston,"3H + ARMA(0,1) + GARCH(1,1)",3,0,1,1,1,13,0.8822847327152803,6.010350778433241,-10575.986703983239,21177.973407966478,21257.24390542411,0.17487383842300222,0.1705125522207888,0.8293993416260597,0.9999118938468484,5.826581769033947
Boston,"3H + ARMA(0,1) + GARCH(1,2)",3,0,1,1,2,14,0.8822847327152803,6.010350778433241,-10523.824332347283,21075.648664694567,21161.016892725867,0.14185631298749865,0.1371367340575104,0.8618970706050395,0.9990338046625499,5.847506917763978
Boston,"3H + ARMA(0,1) + GARCH(1,3)",3,0,1,1,3,15,0.8822847327152803,6.010350778433241,-10511.330576781145,21052.66115356229,21144.127112167254,0.12935840841887183,0.12846109763693542,0.8714837631544651,0.9999448607914005,5.885752892398221
Boston,"3H + ARMA(0,1) + GARCH(2,1)",3,0,1,2,1,14,0.8822847327152803,6.010350778433241,-10608.864347876943,21245.728695753885,21331.096923785186,0.1,0.2,0.8,1.0,5.755564481499907
Boston,"3H + ARMA(0,1) + GARCH(2,2)",3,0,1,2,2,15,0.8822847327152803,6.010350778433241,-10554.207373666659,21138.414747333318,21229.88070593828,0.1,0.2,0.8,1.0,5.800765826477761
Boston,"3H + ARMA(0,1) + GARCH(2,3)",3,0,1,2,3,16,0.8822847327152803,6.010350778433241,-10535.09672236091,21102.19344472182,21199.757133900446,0.1,0.2,0.8,1.0,5.81039706326029
Boston,"3H + ARMA(0,1) + GARCH(3,1)",3,0,1,3,1,15,0.8822847327152803,6.010350778433241,-10629.694298199698,21289.388596399396,21380.85455500436,0.1,0.30000000000000004,0.8,1.1,7.032759385960788
Boston,"3H + ARMA(0,1) + GARCH(3,2)",3,0,1,3,2,16,0.8822847327152803,6.010350778433241,-10612.22078911633,21256.44157823266,21354.00526741129,0.1,0.30000000000000004,0.8,1.1,7.083540494205144
Boston,"3H + ARMA(0,1) + GARCH(3,3)",3,0,1,3,3,17,0.8822847327152803,6.010350778433241,-10604.465097970213,21242.930195940426,21346.591615692716,0.1,0.30000000000000004,0.8,1.1,7.114378788477385
Boston,"3H + ARMA(0,2) + GARCH(1,1)",3,0,2,1,1,14,0.8890251487000581,5.835736963788265,-10488.928990048851,21005.857980097702,21091.226208129003,0.17479658538873774,0.1703615096464776,0.8295843178887936,0.9999458275352712,5.666318039942066
Boston,"3H + ARMA(0,2) + GARCH(1,2)",3,0,2,1,2,15,0.8890251487000581,5.835736963788265,-10431.966905886147,20893.933811772295,20985.39977037726,0.14177817541011997,0.1370597561503871,0.861832306467915,0.9988920626183021,5.682784122532214
Boston,"3H + ARMA(0,2) + GARCH(1,3)",3,0,2,1,3,16,0.8890251487000581,5.835736963788265,-10420.783701118244,20873.567402236487,20971.131091415114,0.12934664703468574,0.12843600068570993,0.87147198180761,0.9999079824933199,5.721272214496391
